Nome,Data,FCLA
3tentos,2021-01-01,3770.0
3tentos,2021-04-01,-350083.0
3tentos,2021-07-01,186785.0
3tentos,2021-10-01,-119487.0
3tentos,2022-01-01,-320523.0
3tentos,2022-07-01,596343.0
3tentos,2022-10-01,-249977.0
3tentos,2023-01-01,69290.0
3tentos,2023-04-01,-335243.0
3tentos,2023-07-01,515970.0
3tentos,2023-10-01,106742.0
3tentos,2024-01-01,-183971.0
3tentos,2024-04-01,34112.0
3tentos,2024-07-01,28208.0
3tentos,2024-10-01,108937.0
524 Particip,2014-01-01,-32.0
524 Particip,2014-04-01,-16.0
524 Particip,2014-07-01,-17.0
524 Particip,2014-10-01,-10.0
524 Particip,2015-01-01,-46.0
524 Particip,2015-04-01,-7.0
524 Particip,2015-07-01,-7.0
524 Particip,2015-10-01,-10.0
524 Particip,2016-01-01,-30.0
524 Particip,2016-04-01,-23.0
524 Particip,2016-07-01,-28.0
524 Particip,2016-10-01,-22.0
524 Particip,2017-01-01,-33.0
524 Particip,2017-04-01,-25.0
524 Particip,2017-07-01,-24.0
524 Particip,2017-10-01,-24.0
524 Particip,2018-04-01,-37.0
524 Particip,2018-07-01,-29.0
524 Particip,2018-10-01,-16.0
524 Particip,2019-04-01,-30.0
524 Particip,2019-07-01,-17.0
524 Particip,2019-10-01,-17.0
524 Particip,2020-04-01,-49.0
524 Particip,2020-07-01,-8.0
524 Particip,2020-10-01,-14.0
524 Particip,2021-01-01,-73.0
524 Particip,2021-07-01,-15.0
524 Particip,2021-10-01,-16.0
524 Particip,2022-01-01,-58.0
524 Particip,2022-07-01,-8.0
524 Particip,2022-10-01,-6.0
524 Particip,2023-01-01,-65.0
524 Particip,2023-07-01,16.0
524 Particip,2023-10-01,-9.0
524 Particip,2024-01-01,-70.0
524 Particip,2024-07-01,-9.0
Aco Altona,2014-01-01,3460.0
Aco Altona,2014-04-01,3889.0
Aco Altona,2014-07-01,5852.0
Aco Altona,2014-10-01,-6644.0
Aco Altona,2015-01-01,-10090.0
Aco Altona,2015-04-01,8528.0
Aco Altona,2015-07-01,-415.0
Aco Altona,2015-10-01,3895.0
Aco Altona,2016-01-01,6910.0
Aco Altona,2016-04-01,2964.0
Aco Altona,2016-07-01,3847.0
Aco Altona,2016-10-01,-5570.0
Aco Altona,2017-01-01,1260.0
Aco Altona,2017-04-01,4708.0
Aco Altona,2017-07-01,2719.0
Aco Altona,2017-10-01,-20228.0
Aco Altona,2018-01-01,769.0
Aco Altona,2018-07-01,-46389.0
Aco Altona,2018-10-01,90821.0
Aco Altona,2019-01-01,7029.0
Aco Altona,2019-04-01,-22047.0
Aco Altona,2019-07-01,33354.0
Aco Altona,2019-10-01,-15517.0
Aco Altona,2020-01-01,4529.0
Aco Altona,2020-04-01,4867.0
Aco Altona,2020-07-01,24442.0
Aco Altona,2020-10-01,8358.0
Aco Altona,2021-01-01,10524.0
Aco Altona,2021-04-01,-12064.0
Aco Altona,2021-07-01,-4796.0
Aco Altona,2021-10-01,-6666.0
Aco Altona,2022-01-01,-1736.0
Aco Altona,2022-04-01,-2365.0
Aco Altona,2022-07-01,9278.0
Aco Altona,2022-10-01,3980.0
Aco Altona,2023-01-01,8980.0
Aco Altona,2023-04-01,4746.0
Aco Altona,2023-07-01,44.0
Aco Altona,2023-10-01,10386.0
Aco Altona,2024-01-01,2565.0
Aco Altona,2024-04-01,19754.0
Aco Altona,2024-07-01,10915.0
Aeris,2020-01-01,-232470.0
Aeris,2020-04-01,-58618.0
Aeris,2020-07-01,-150783.0
Aeris,2020-10-01,-349397.0
Aeris,2021-01-01,-178097.0
Aeris,2021-04-01,1073.0
Aeris,2021-07-01,95763.0
Aeris,2021-10-01,21791.0
Aeris,2022-01-01,-146947.0
Aeris,2022-04-01,2149.0
Aeris,2022-07-01,10571.0
Aeris,2022-10-01,33820.0
Aeris,2023-01-01,-215027.0
Aeris,2023-04-01,87404.0
Aeris,2023-07-01,-180695.0
Aeris,2023-10-01,43631.0
Aeris,2024-01-01,-140166.0
Aeris,2024-04-01,254559.0
Aeris,2024-07-01,-88224.0
Aesoperacoes,2021-01-01,10.0
Aesoperacoes,2021-04-01,-8.0
Aesoperacoes,2021-07-01,15.0
Aesoperacoes,2022-01-01,-1066935.0
Aesoperacoes,2022-04-01,-698314.0
Aesoperacoes,2022-07-01,-811542.0
Aesoperacoes,2022-10-01,129839.0
Aesoperacoes,2023-01-01,177305.0
Aesoperacoes,2023-04-01,385262.0
Aesoperacoes,2023-07-01,131685.0
Aesoperacoes,2023-10-01,463611.0
Aesoperacoes,2024-01-01,-20492.0
Aesoperacoes,2024-04-01,-248910.0
Aesoperacoes,2024-07-01,143644.0
Aesoperacoes,2024-10-01,495946.0
Afluente T,2014-01-01,5351.0
Afluente T,2014-04-01,4251.0
Afluente T,2014-07-01,6100.0
Afluente T,2014-10-01,9152.0
Afluente T,2015-01-01,6149.0
Afluente T,2015-04-01,6885.0
Afluente T,2015-07-01,6588.0
Afluente T,2015-10-01,8080.0
Afluente T,2016-01-01,4512.0
Afluente T,2016-04-01,-6899.0
Afluente T,2016-07-01,18362.0
Afluente T,2016-10-01,-19150.0
Afluente T,2017-01-01,-367.0
Afluente T,2017-04-01,10693.0
Afluente T,2017-07-01,4960.0
Afluente T,2017-10-01,4579.0
Afluente T,2018-01-01,6462.0
