,Empresa,Data,Real,Previsto,Erro Absoluto,Train RMSE,Test RMSE,Overfitting?,Underfitting?,Erro
0,3tentos,2022-10-01,0.000718136692464677,0.010453039194575214,0.009734902502110537,0.009633682489049528,0.009734902502110537,False,True,-0.009734902502110537
1,3tentos,2023-01-01,-0.0020941539525741737,0.007534863949081566,0.00962901790165574,0.009263556389623877,0.00962901790165574,False,True,-0.00962901790165574
2,3tentos,2023-04-01,-0.0012564377801519422,0.006075268575158737,0.007331706355310679,0.009213062687448393,0.007331706355310679,False,True,-0.007331706355310679
3,3tentos,2023-07-01,0.003400877415205672,0.0050450202440300955,0.0016441428288244235,0.008908726266329567,0.0016441428288244235,False,True,-0.0016441428288244235
4,3tentos,2023-10-01,-0.0042474291991873026,0.004767853748661391,0.009015282947848695,0.008351279250472363,0.009015282947848695,False,True,-0.009015282947848695
5,3tentos,2024-01-01,0.0022184682526922295,0.002729081743744658,0.0005106134910524284,0.008446661997366748,0.0005106134910524284,False,True,-0.0005106134910524284
6,3tentos,2024-04-01,-0.007590589490140576,0.0027800792266426027,0.010370668716783178,0.008009030512477245,0.010370668716783178,False,True,-0.010370668716783178
7,3tentos,2024-07-01,0.008525350467096127,0.0017522334869457669,0.006773116980150359,0.008298504181466517,0.006773116980150359,False,True,0.006773116980150359
8,3tentos,2024-10-01,0.0039203537242955555,0.0014051555877930561,0.002515198136502499,0.007420269662466918,0.002515198136502499,False,True,0.002515198136502499
9,Aco Altona,2015-01-01,-3.0247285924711598e-05,1.7601523164980277e-05,4.784880908969187e-05,4.965164556211242e-05,4.784880908969187e-05,False,True,-4.784880908969187e-05
10,Aco Altona,2015-04-01,0.0001748096824907286,4.212170701345386e-06,0.0001705975117893832,4.7467643641894195e-05,0.0001705975117893832,True,False,0.0001705975117893832
11,Aco Altona,2015-07-01,-0.00021851716535381538,3.212803359677329e-05,0.00025064519895058867,7.691577088335676e-05,0.00025064519895058867,True,False,-0.00025064519895058867
12,Aco Altona,2015-10-01,6.209112849120402e-05,2.5313662692105258e-06,5.955976222199349e-05,0.00011327825424351194,5.955976222199349e-05,False,True,5.955976222199349e-05
13,Aco Altona,2016-01-01,0.00019588292506700355,1.0471672543644247e-05,0.0001854112525233593,0.00010814562165904523,0.0001854112525233593,False,True,0.0001854112525233593
14,Aco Altona,2016-04-01,-9.889112358918428e-05,3.127030987120823e-05,0.00013016143346039253,0.00011829704288637492,0.00013016143346039253,False,True,-0.00013016143346039253
15,Aco Altona,2016-07-01,-4.472687838819045e-05,2.0105957106757816e-05,6.483283549494827e-05,0.00011841030738353058,6.483283549494827e-05,False,True,-6.483283549494827e-05
16,Aco Altona,2016-10-01,0.00019365787754277441,1.3877221799333633e-05,0.0001797806557434408,0.00011411030481388875,0.0001797806557434408,False,True,0.0001797806557434408
17,Aco Altona,2017-01-01,-0.00017526519695088005,1.2400654141630216e-05,0.00018766585109251027,0.00010919214824178549,0.00018766585109251027,False,True,-0.00018766585109251027
18,Aco Altona,2017-07-01,-1.482860562951327e-05,6.248686218596197e-06,2.1077291848109466e-05,0.00011217242911310499,2.1077291848109466e-05,False,True,-2.1077291848109466e-05
19,Aco Altona,2017-10-01,0.0009467781166816458,1.841477030863366e-05,0.0009283633463730122,0.00010593817414500706,0.0009283633463730122,True,False,0.0009283633463730122
20,Aco Altona,2018-01-01,-0.0009773445763772148,7.161986754333713e-05,0.001048964443920552,0.00021865877294433228,0.001048964443920552,True,False,-0.001048964443920552
21,Aco Altona,2018-07-01,-0.0006297690797103517,-6.146027009633462e-05,0.0005683088096140171,0.00027049711986818566,0.0005683088096140171,True,False,-0.0005683088096140171
22,Aco Altona,2018-10-01,0.001441096608896908,-2.749726782915857e-05,0.0014685938767260666,0.00025995215582782344,0.0014685938767260666,True,False,0.0014685938767260666
23,Aco Altona,2019-01-01,-0.0008941202335999154,-7.350363816524781e-05,0.0008206165954346676,0.00032934549050133626,0.0008206165954346676,True,False,-0.0008206165954346676
24,Aco Altona,2019-04-01,0.00015593703300331718,1.652519494188704e-05,0.00013941183806143013,0.0003277744607215614,0.00013941183806143013,False,True,0.00013941183806143013
25,Aco Altona,2019-07-01,-0.0002933463835620431,-0.00011988665594485952,0.00017345972761718362,0.000311109613176406,0.00017345972761718362,False,True,-0.00017345972761718362
26,Aco Altona,2019-10-01,0.0009580083506233183,0.00025290142869759455,0.0007051069219257237,0.00030401840123146274,0.0007051069219257237,True,False,0.0007051069219257237
27,Aco Altona,2020-01-01,-0.00047280511240932466,-0.00044819799378762804,2.4607118621696616e-05,0.0002981931583977536,2.4607118621696616e-05,False,True,-2.4607118621696616e-05
28,Aco Altona,2020-04-01,-0.0001507277505307103,-4.503195894145032e-05,0.00010569579158925999,0.00030003690932656354,0.00010569579158925999,False,True,-0.00010569579158925999
29,Aco Altona,2020-07-01,-0.0005553700707834341,-0.0003282868195544745,0.00022708325122895967,0.0002915975998860887,0.00022708325122895967,False,True,-0.00022708325122895967
30,Aco Altona,2020-10-01,0.0004922843256442988,0.00012055125646451316,0.00037173306917978567,0.00029389735564215147,0.00037173306917978567,False,True,0.00037173306917978567
31,Aco Altona,2021-01-01,-3.48480075773594e-05,-4.7351895628063935e-05,1.2503888050704539e-05,0.0002680971299717764,1.2503888050704539e-05,False,True,1.2503888050704539e-05
32,Aco Altona,2021-04-01,0.00010401125792514065,-2.018995017612963e-05,0.0001242012081012703,0.00025028042371936127,0.0001242012081012703,False,True,0.0001242012081012703
33,Aco Altona,2021-07-01,-0.0003101673433010266,-0.00030040110897178765,9.76623432923893e-06,0.0002402426962999343,9.76623432923893e-06,False,True,-9.76623432923893e-06
34,Aco Altona,2021-10-01,-8.113547434873691e-05,-7.648909661866356e-05,4.646377730073358e-06,0.00024333439247151148,4.646377730073358e-06,False,True,-4.646377730073358e-06
35,Aco Altona,2022-01-01,0.0004883408746001461,0.00017130139344325576,0.00031703948115689034,0.0002439294700798008,0.00031703948115689034,False,True,0.00031703948115689034
36,Aco Altona,2022-04-01,-8.248645309649749e-05,-0.00020684178752792697,0.00012435533443142947,0.00023837269490043436,0.00012435533443142947,False,True,0.00012435533443142947
37,Aco Altona,2022-07-01,0.000242081724277865,-7.751946007377339e-05,0.0003196011843516384,0.0002354271923537221,0.0003196011843516384,False,True,0.0003196011843516384
38,Aco Altona,2022-10-01,-0.0007706617175772257,-0.0002538724504658276,0.000516789267111398,0.0002598881693032402,0.000516789267111398,False,True,-0.000516789267111398
39,Aco Altona,2023-01-01,0.0006456504429668275,0.0004427654646560858,0.00020288497831074168,0.0002507097046531901,0.00020288497831074168,False,True,0.00020288497831074168
40,Aco Altona,2023-04-01,-0.0004358070428680527,-0.00028844607955902005,0.00014736096330903267,0.0002486318327076122,0.00014736096330903267,False,True,-0.00014736096330903267
41,Aco Altona,2023-07-01,0.00016458923381845736,0.0002460032787594431,8.141404494098575e-05,0.00024588745051490676,8.141404494098575e-05,False,True,-8.141404494098575e-05
42,Aco Altona,2023-10-01,6.418096838922693e-05,-0.00014626042876599146,0.0002104413971552184,0.00023459727086057867,0.0002104413971552184,False,True,0.0002104413971552184
43,Aco Altona,2024-01-01,0.0001466948853316996,0.0001685417569538876,2.184687162218798e-05,0.00023245586352084498,2.184687162218798e-05,False,True,-2.184687162218798e-05
44,Aco Altona,2024-04-01,2.8130561235517604e-05,-1.4338494500161214e-05,4.246905573567882e-05,0.00022757401967118281,4.246905573567882e-05,False,True,4.246905573567882e-05
45,Aco Altona,2024-07-01,-0.00021201127336001324,-3.692992322077894e-05,0.0001750813501392343,0.00021199770661471052,0.0001750813501392343,False,True,-0.0001750813501392343
46,Aeris,2021-10-01,0.009183465670447921,0.0003634047159241649,0.008820060954523756,0.008749009093784153,0.008820060954523756,False,True,0.008820060954523756
47,Aeris,2022-01-01,-0.0003795936823418611,0.0031352318682514673,0.0035148255505933284,0.008501428062374274,0.0035148255505933284,False,True,-0.0035148255505933284
48,Aeris,2022-04-01,-0.001963050606885619,0.0025296646873197827,0.004492715294205402,0.007833838630113655,0.004492715294205402,False,True,-0.004492715294205402
49,Aeris,2022-07-01,0.0025358893884475098,0.0021069354205968836,0.0004289539678506262,0.007402121958795328,0.0004289539678506262,False,True,0.0004289539678506262
