,Empresa,knn_MAE,knn_train_RMSE,knn_test_RMSE,xgb_MAE,xgb_train_RMSE,xgb_test_RMSE,ARIMA_MAE,ARIMA_train_RMSE,ARIMA_test_RMSE,RF_MAE,RF_train_RMSE,RF_test_RMSE,Lasso_MAE,Lasso_train_RMSE,Lasso_test_RMSE
0,3tentos,0.0048040640416054554,0.006469256762458599,0.0048040640416054554,0.006243650750655145,0.00866323225848521,0.006243650750655145,0.0051680014448859,0.0099435931907608,0.0051680014448859,0.0063916277622486665,0.00861608593741119,0.0063916277622486665,0.006243650864966478,0.0086632322584852,0.006243650864966478
1,Aco Altona,0.00029794128065713607,0.00022893700498374236,0.00029794128065713607,0.00036143858703508797,0.0003698909341795841,0.00036143858703508797,0.000573514306194025,0.0005791226713155996,0.000573514306194025,0.0002754034332157056,0.000213786118857799,0.0002754034332157056,0.0003614385872674907,0.0003698909341795841,0.0003614385872674907
2,Aeris,0.0031926626646313918,0.004636110043138458,0.0031926626646313918,0.004010082282035234,0.006806862873739275,0.004010082282035234,0.0035235728067887916,0.0065611746764551076,0.0035235728067887916,0.0039601107557132665,0.006587866679717425,0.0039601107557132665,0.004010082307993633,0.006806862873739275,0.004010082307993633
3,Afluente T,0.0003906000758457682,0.0003071443102757591,0.0003906000758457682,0.00036393306806757657,0.0003438936884346591,0.00036393306806757657,0.0005429811297771719,0.0003268116203884519,0.0005429811297771719,0.0002670434530214546,0.00021015656884534293,0.0002670434530214546,0.0003639330683630249,0.0003438936884346591,0.0003639330683630249
4,Agrogalaxy,0.009205284682070613,0.008213066990964187,0.009205284682070613,0.012790017081893312,0.011182313353759337,0.012790017081893312,0.013758685963216475,0.013125816073787712,0.013758685963216475,0.012836805368859137,0.011187120774064838,0.012836805368859137,0.0127900170471036,0.011182313353759337,0.0127900170471036
5,Alfa Holding,0.0001354107833964344,0.00010631752136076083,0.0001354107833964344,0.00012473404404154888,0.00013256578051846262,0.00012473404404154888,0.00014902311897693402,0.0001606229350539107,0.00014902311897693402,0.00010274238663038977,8.465417622631809e-05,0.00010274238663038977,0.00012473404402668398,0.00013256578051846262,0.00012473404402668398
6,Alliar,0.0008968319505410803,0.001404792430246243,0.0008968319505410803,0.0014879447255365882,0.0023880660651025678,0.0014879447255365882,0.0016088747282833895,0.0027698683607821034,0.0016088747282833895,0.001223793621333375,0.0019172723194856463,0.001223793621333375,0.0014879447165354381,0.0023880660651025678,0.0014879447165354381
7,Allied,0.0016619702701529502,0.0014505742316226699,0.0016619702701529502,0.00251586438582097,0.00216953300903072,0.00251586438582097,0.0032916554542998,0.002459294375239,0.0032916554542998,0.00247178159077499,0.00212575156733084,0.00247178159077499,0.00251586438870347,0.00216953300903072,0.00251586438870347
8,Allos,0.005330406331662613,0.0018831160688156771,0.005330406331662613,0.008410185657513823,0.004305402374589387,0.008410185657513823,0.008627351312944113,0.004058124376150866,0.008627351312944113,0.007471469008180308,0.0026614982793732563,0.007471469008180308,0.008410185657926828,0.004305402374589387,0.008410185657926828
9,Alpargatas,0.007180815553443643,0.00458730338585089,0.007180815553443643,0.008760637880925015,0.00734347246647671,0.008760637880925015,0.009423626496784908,0.00658842721027753,0.009423626496784908,0.00741855857071063,0.00510857619037041,0.00741855857071063,0.008760637879350518,0.00734347246647671,0.008760637879350518
