,Empresa,RMSE_knn,RMSE_xgb,RMSE_ARIMA,RMSE_RF,RMSE_Lasso
0,3tentos,0.005292028198626809,0.0072800686867182446,0.005817137238349697,0.007342657662144358,0.007342657662144358
1,Aco Altona,0.0004561125901289128,0.0005026990403082073,0.0008768591878672685,0.0004265657231722616,0.0004265657231722616
2,Aeris,0.003896441064994187,0.004470719344090483,0.004305274502557363,0.004478958208285019,0.004478958208285019
3,Afluente T,0.00048157663792261143,0.0004552891602642582,0.0009384334743430684,0.000349269576310825,0.000349269576310825
4,Agrogalaxy,0.01206575734488534,0.015532469788221133,0.017176963587080044,0.015621720215113268,0.015621720215113268
5,Alfa Holding,0.00018513831593782714,0.00019623975642790405,0.0002238425934163755,0.00018362055594739945,0.00018362055594739945
6,Alliar,0.0013305513246063432,0.0018793264543940905,0.002047220260918701,0.0016484258213094274,0.0016484258213094274
7,Allied,0.002212224319448659,0.002813514973183964,0.004389848989086392,0.0027863449737328045,0.0027863449737328045
8,Allos,0.009138885409336273,0.013796544169855138,0.014632581792124828,0.012617867695612663,0.012617867695612663
9,Alpargatas,0.016791473584819673,0.018998011978200387,0.01848742350887784,0.017499213152411115,0.017499213152411115
10,Alphaville,0.000724307920544,0.0007243076963314998,0.0027803236261306997,0.0009664152260326999,0.0009664152260326999
11,Alupar,0.006693930013580949,0.011470233115450165,0.011765533622078307,0.009789476479204876,0.009789476479204876
12,Ambev S/A,0.04474686130772099,0.10207329887173028,0.08965372541827518,0.07409984108754285,0.07409984108754285
13,Ambipar,0.01025649406084385,0.013739117980606586,0.012829933040442774,0.013335530131412615,0.013335530131412615
14,Americanas,0.11583997272906629,0.1335064094716886,0.13640080002554802,0.13243549123150353,0.13243549123150353
15,Ampla Energ,0.012670874419350636,0.02097695930776295,0.020773180267597054,0.01744656966037252,0.01744656966037252
16,Anima,0.027200582113155642,0.03312544718285025,0.02559869708227447,0.03000623435322583,0.03000623435322583
17,Armac,0.009059242563249253,0.01084607131653211,0.013554452580377262,0.010906510898107992,0.010906510898107992
18,Assai,0.021249834162603464,0.03541185581991002,0.03068762916108122,0.03444279948835089,0.03444279948835089
19,Atmasa,0.007225319505094081,0.00872897632869281,0.00965926656599068,0.008452633723460506,0.008452633723460506
20,Aura 360,0.006745786071214007,0.009529939000848961,0.014589774132997812,0.009695759089979963,0.009695759089979963
21,Auren,0.029646001862373372,0.04138504888621721,0.046130704446254146,0.04106249039151554,0.04106249039151554
22,Azevedo,0.0015783143664554187,0.001737410430785868,0.0025716313399953804,0.001457397415387315,0.001457397415387315
23,Azzas 2154,0.007100109373413156,0.009647636162552039,0.008792935005433763,0.008794886537139671,0.008794886537139671
24,B3,0.03635537757161138,0.05481492575623169,0.0581549239943458,0.04858460530884529,0.04858460530884529
25,BRF SA,0.022552285062147393,0.044029224575466035,0.04011331901922554,0.03699874588031101,0.03699874588031101
26,Bardella,0.0006994265463250195,0.0007322965823284526,0.0009590525706709047,0.0007028701186131855,0.0007028701186131855
27,Baumer,0.00010518199990735863,0.000128630174112241,0.0001763490143568148,0.00010515159462921528,0.00010515159462921528
28,Bemobi Tech,0.003264086098361021,0.004561224295764266,0.0009125151027397123,0.004511020945525975,0.004511020945525975
29,Bic Monark,0.00018020494655719005,0.00015972706887622205,0.000225377684081542,0.00013446456847557468,0.00013446456847557468
30,Bioma Educ,0.0008498501532157119,0.0009996621273759647,0.0016519457406323204,0.0008782031891217956,0.0008782031891217956
31,Biomm,0.001065539025507337,0.0011273355762236575,0.0014096091241364286,0.0008916883139594139,0.0008916883139594139
32,Blau,0.0036600590920158097,0.005009796344052405,0.003836779111767976,0.0049741708647426655,0.0049741708647426655
33,Boa Safra,0.004892720257383978,0.006410571301807586,0.007665002435119158,0.0064350579162010604,0.0064350579162010604
34,Bradespar,0.022173659202432305,0.027523243867364388,0.023745719005620124,0.022809652212460698,0.022809652212460698
35,Brasilagro,0.002563287467054738,0.0035973177441075903,0.003907936842186772,0.002812680210544818,0.002812680210544818
36,Braskem,0.08624367228617605,0.10686692630383945,0.1328635594552989,0.10039847058475522,0.10039847058475522
37,Brava,0.058034438158266886,0.07057553097240435,0.07983191755865679,0.07051700430712138,0.07051700430712138
38,CCR SA,0.024297816892375642,0.0433085435509629,0.03597872251644651,0.03461366227415209,0.03461366227415209
39,CPFL Energia,0.025348378420984766,0.04677520072297955,0.048157112376341515,0.039873861164164,0.039873861164164
40,Caixa Seguri,0.02549082305686804,0.02872638391924517,0.02057306289939214,0.02849196646760208,0.02849196646760208
41,Cambuci,0.0004293223664554556,0.0004543521598948965,0.0005580529046516715,0.0004046632727757546,0.0004046632727757546
42,Camil,0.007801237031257704,0.014433571956601679,0.008248716928051843,0.012424168699923997,0.012424168699923997
43,Carrefour BR,0.036519900618015064,0.05446229604671344,0.04461879038078835,0.04680690676840394,0.04680690676840394
44,Casan,0.00047321039561844415,0.0004352410416914077,0.0012595490617265841,0.0004807014308468191,0.0004807014308468191
45,Casas Bahia,0.022915345400928728,0.03373479210001732,0.03233668601637201,0.028164918782596145,0.028164918782596145
46,Cba,0.00874164837572776,0.012397154724702129,0.012939043261714946,0.012212951040800191,0.012212951040800191
47,Cea Modas,0.004591981085082222,0.0068206081883721145,0.006274868729559011,0.0059222473281517335,0.0059222473281517335
48,Ceb,0.0050812141761784994,0.005394057986451018,0.010346985818907382,0.005447595588233969,0.005447595588233969
49,Cedro,0.00042486794234999485,0.0005607405063217354,0.0009623141904571659,0.0004591867881564749,0.0004591867881564749
50,Ceg,0.003707373264160735,0.005202066040142503,0.0042690025900825185,0.004686870340142951,0.004686870340142951
51,Celesc,0.01069723343867252,0.017040854361364485,0.017240579020137373,0.014548949623887168,0.014548949623887168
52,Cemig,0.03571105398460369,0.05318294078103467,0.04338317549754958,0.045375093786414133,0.045375093786414133
53,Clearsale,0.002725749299621164,0.004228422820730497,0.000522320234861799,0.004240137170531582,0.004240137170531582
54,Coelba,0.008033704850407703,0.015654028372702487,0.015721192511199862,0.012738069041042492,0.012738069041042492
55,Coelce,0.004838140384375363,0.009375717958782007,0.007649397405918938,0.007390280616608407,0.007390280616608407
56,Cogna ON,0.04119004626789648,0.052534828817315526,0.042186703586622305,0.04711910805406164,0.04711910805406164
57,Comgas,0.016017054297844512,0.026074295536573575,0.020516149789809576,0.020319257507306676,0.020319257507306676
58,Const A Lind,0.0005352251433393188,0.0005243534214844724,0.0008446419465868195,0.0005223783393931027,0.0005223783393931027
59,Copasa,0.003976656832861536,0.007389606109287102,0.007345476954112504,0.006083466703391716,0.006083466703391716
60,Copel,0.012921363179341063,0.028083455993995136,0.024245172521979975,0.021379970434451903,0.021379970434451903
61,Cosan,0.03738220600421036,0.0618763004689194,0.05486783730208555,0.0481554623861676,0.0481554623861676
62,Coteminas,0.002590115592412357,0.005018869944577812,0.0036258392452910375,0.0038587303482933207,0.0038587303482933207
63,Cristal,0.0009691511251515446,0.001002965354343828,0.0014530368322635018,0.0009186536711830732,0.0009186536711830732
64,Cruzeiro Edu,0.0037353447474959807,0.005883482434415892,0.005152784977307809,0.005803511038101539,0.005803511038101539
65,Csn Mineracao,0.04221441183730863,0.06270113142160717,0.04434786925816481,0.06206201838246079,0.06206201838246079
66,Csu Digital,0.00019882539125780707,0.0002008214828637289,0.00036253276030574213,0.00016292709493689905,0.00016292709493689905
67,Cury S/A,0.0026149065725282875,0.004789444091486374,0.004757750224097181,0.004641104690895384,0.004641104690895384
68,Cvc Brasil,0.008965490112758464,0.011651744801566647,0.012921613297973722,0.011143903467874236,0.011143903467874236
69,Cyrela Realt,0.006595700764325296,0.010795182326283032,0.012565281797610671,0.009381882003622607,0.009381882003622607
70,D1000vfarma,0.0009940606101598623,0.0017174862732250897,0.00040971354922079983,0.0016485350046544509,0.0016485350046544509
71,Dasa,0.016368165765935815,0.021464601455631532,0.01860780485904954,0.01769342363979506,0.01769342363979506
72,Desktopsigma,0.004687277286705829,0.006259833570678335,0.008225495459951318,0.006133390480541361,0.006133390480541361
73,Dexco,0.0050645676323395235,0.010302558438946301,0.010042340424516773,0.008298737633036424,0.008298737633036424
74,Dexxos Par,0.0014701418315316904,0.0016013768747091214,0.0018127698398380109,0.0015038940674606557,0.0015038940674606557
75,Dimed,0.0019320089039212764,0.0024709802610825573,0.0023426806175524295,0.002130231214020247,0.002130231214020247
76,Direcional,0.004671902034490216,0.007675279663399934,0.007651318740637214,0.006193527416717119,0.006193527416717119
77,Dohler,0.0003193675237210933,0.0003177274033247963,0.0003581366477791765,0.0002634945789568619,0.0002634945789568619
78,Dtcom Direct,2.801054892778311e-05,2.663661251756305e-05,3.865321360671384e-05,2.3090948530219038e-05,2.3090948530219038e-05
79,Ecorodovias,0.009466627680016123,0.019818519013084502,0.01785497691130767,0.015599181627987617,0.015599181627987617
80,Elektro,0.007006523158056861,0.010684474077745445,0.011566880313424536,0.009517120457179161,0.009517120457179161
81,Eletrobras,0.1020572018765421,0.171876504433689,0.17918712976844986,0.15957785605809757,0.15957785605809757
82,Eletromidia,0.0034330616618019703,0.0050276082289144736,0.005753220597371938,0.004981548781856506,0.004981548781856506
83,Eletropar,0.00028561427970396746,0.00026308218557700546,0.00040462825520388166,0.0002429867190071802,0.0002429867190071802
84,Emae,0.0021965748446907385,0.002408480154496092,0.003382275361505675,0.0022055792486873646,0.0022055792486873646
85,Embpar S/A,0.0006376467873299099,0.0006331657873051191,0.0009493263814990123,0.0006148166936285867,0.0006148166936285867
86,Embraer,0.030407086280590752,0.05634896064368105,0.053224676427836716,0.043874289970204476,0.043874289970204476
87,Energisa,0.01961029273839283,0.03203598973635495,0.03109322396316212,0.02737187158348614,0.02737187158348614
88,Energisa Mt,0.0047230732236274425,0.0064589708551130364,0.006475270638222145,0.005075347962460284,0.005075347962460284
89,Eneva,0.015388893665265661,0.020761920645252077,0.02277549375281563,0.017793699219061706,0.017793699219061706
90,Engie Brasil,0.014388332123650243,0.026787202901422533,0.02645472466335987,0.021001811906944553,0.021001811906944553
91,Enjoei,0.0012286985777279083,0.0020403591933093736,0.00032808198474589207,0.0019893303694869455,0.0019893303694869455
92,Eqtl Maranhao,0.004411052432988696,0.00875872984736649,0.010304116813905927,0.006647720894046206,0.006647720894046206
93,Eqtl Para,0.005921134904630622,0.011258050488478156,0.011291403480557271,0.009210510902256016,0.009210510902256016
94,Equatorial,0.04040477370891911,0.05753825736825676,0.05003253887178705,0.05238199521951966,0.05238199521951966
95,Espacolaser,0.005226230318435773,0.007388396352767523,0.006469920420670695,0.007317588674687368,0.007317588674687368
96,Estapar,0.0029377120239559734,0.0038400899814941235,0.003937099962293826,0.004044171619619488,0.004044171619619488
97,Eternit,0.001066649900575314,0.001256989262294591,0.0018359976545255204,0.001087202763122491,0.001087202763122491
98,Eucatex,0.0010568644592922607,0.0016413576333726163,0.0019958826177182377,0.0014983772306023317,0.0014983772306023317
99,Even,0.003510507980519427,0.007082063036863109,0.0065656633836954584,0.005489872891124936,0.005489872891124936
