,Empresa,Data,Real,Previsto,Erro Absoluto,Train RMSE,Test RMSE,Overfitting?,Underfitting?
0,3tentos,2022-12-31,0.007236379085854973,-0.07720687529801193,0.0844432543838669,0.15063737289687879,0.0844432543838669,False,True
1,3tentos,2023-03-31,-0.019340258404436893,-0.07807469471826577,0.058734436313828874,0.13487280196609686,0.058734436313828874,False,True
2,3tentos,2023-06-30,-0.00332095518500558,-0.008141175392555449,0.004820220207549869,0.12209395422980045,0.004820220207549869,False,True
3,3tentos,2023-09-30,0.022559539906856146,-0.017197467156935844,0.03975700706379199,0.11287580164758497,0.03975700706379199,False,True
4,3tentos,2023-12-31,-0.0004919733303853444,-0.0036473538363914586,0.003155380506006114,0.10578307849419381,0.003155380506006114,False,True
5,3tentos,2024-03-31,-0.007679544444072706,0.019932900472580523,0.02761244491665323,0.09930262276630568,0.02761244491665323,False,True
6,3tentos,2024-06-30,-0.04886721313954542,0.0010676730095238486,0.04993488614906927,0.09420094489250723,0.04993488614906927,False,True
7,3tentos,2024-09-30,-0.00360071808609374,-0.008936633204772393,0.005335915118678653,0.09082194302515204,0.005335915118678653,False,True
8,3tentos,2024-12-31,0.029459307988831222,-0.04524120120921557,0.0747005091980468,0.08681038454091469,0.0747005091980468,False,True
9,AES Brasil,2012-03-31,-0.018476508017917892,0.04832831808064148,0.06680482609855937,0.045871326694386275,0.06680482609855937,False,True
10,AES Brasil,2012-06-30,0.06349999355828446,0.014007552757420584,0.04949244080086388,0.04707556066934159,0.04949244080086388,False,True
11,AES Brasil,2012-09-30,0.027595483947028758,0.02777464440266275,0.00017916045563399347,0.04521029755497273,0.00017916045563399347,False,True
12,AES Brasil,2012-12-31,0.0314526657678324,0.03932275189650082,0.007870086128668421,0.04136794499360863,0.007870086128668421,False,True
13,AES Brasil,2013-03-31,-0.024995857792383853,0.036972005701754775,0.06196786349413863,0.03842639744429341,0.06196786349413863,False,True
14,AES Brasil,2013-06-30,0.035819990720013246,0.04150543896024513,0.005685448240231886,0.041717332698636166,0.005685448240231886,False,True
15,AES Brasil,2013-09-30,0.02528015360611816,0.022027244234110954,0.0032529093720072046,0.03936226280291578,0.0032529093720072046,False,True
