,Empresa,Data,Real,Previsto,Erro Absoluto,Train RMSE,Test RMSE,Overfitting?,Underfitting?
0,3tentos,2022-10-01,0.3576236059145201,0.36064343340768457,0.003019827493164484,0.0031094531580394525,0.003019827493164484,False,True
1,3tentos,2023-01-01,0.3604951251978702,0.36003946790905167,0.00045565728881852285,0.003032170253760292,0.00045565728881852285,False,True
2,3tentos,2023-04-01,0.3568567149949633,0.3601154107905214,0.0032586957955580975,0.0027731841469185335,0.0032586957955580975,False,True
3,3tentos,2023-07-01,0.3645126097280184,0.3596498828197274,0.004862726908291037,0.0028093056112846685,0.004862726908291037,False,True
4,3tentos,2023-10-01,0.3608319722262196,0.3602577236832638,0.0005742485429557909,0.0030809035806218625,0.0005742485429557909,False,True
5,3tentos,2024-01-01,0.3582172704705713,0.36032152907692555,0.00210425860635427,0.002910304608330979,0.00210425860635427,False,True
6,3tentos,2024-04-01,0.3601787307526263,0.36011110321629014,6.76275363361567e-05,0.002832207091185727,6.76275363361567e-05,False,True
7,3tentos,2024-07-01,0.36012562958699096,0.36011725117413884,8.378412852116934e-06,0.0027004734902345492,8.378412852116934e-06,False,True
8,3tentos,2024-10-01,0.36085171427543533,0.36011794937520986,0.0007337649002254754,0.0025855075603260884,0.0007337649002254754,False,True
9,Aco Altona,2015-01-01,0.3597811735501511,0.359886667596057,0.00010549404590587397,4.377087505617237e-05,0.00010549404590587397,True,False
10,Aco Altona,2015-04-01,0.3599486257015398,0.3598655687868758,8.305691466398146e-05,5.7561711215016405e-05,8.305691466398146e-05,False,True
11,Aco Altona,2015-07-01,0.35986819146639804,0.35987941160598647,1.1220139588430378e-05,6.0985602423745396e-05,1.1220139588430378e-05,False,True
12,Aco Altona,2015-10-01,0.3599069560368398,0.3598778087289024,2.9147307937404943e-05,5.6598042931435665e-05,2.9147307937404943e-05,False,True
13,Aco Altona,2016-01-01,0.35993407324794935,0.3598814521423946,5.262110555476207e-05,5.381303177516415e-05,5.262110555476207e-05,False,True
14,Aco Altona,2016-04-01,0.3598985825298604,0.3598872989319007,1.1283597959710345e-05,5.336254963583077e-05,1.1283597959710345e-05,False,True
15,Aco Altona,2016-07-01,0.35990652432004605,0.3598884272916966,1.8097028349428612e-05,5.073720819808058e-05,1.8097028349428612e-05,False,True
16,Aco Altona,2016-10-01,0.35982182688156567,0.35989007247609206,6.824559452639489e-05,4.865497493370081e-05,6.824559452639489e-05,False,True
17,Aco Altona,2017-01-01,0.3598832565836811,0.3598843853432148,1.1287595337305945e-06,5.02574305050947e-05,1.1287595337305945e-06,False,True
18,Aco Altona,2017-07-01,0.3598963789753921,0.3598842985155584,1.2080459833696544e-05,4.8286714164324356e-05,1.2080459833696544e-05,False,True
19,Aco Altona,2017-10-01,0.3596899913656641,0.35988516140554655,0.00019517003988245296,4.6634139352582175e-05,0.00019517003988245296,True,False
20,Aco Altona,2018-01-01,0.35987884048064467,0.35987215006955436,6.690411090304327e-06,6.633165300085039e-05,6.690411090304327e-06,False,True
21,Aco Altona,2018-07-01,0.35945469671895236,0.3598725682202475,0.0004178715012951306,6.424576194577976e-05,0.0004178715012951306,True,False
22,Aco Altona,2018-10-01,0.3606887771621816,0.35984798754370073,0.0008407896184808861,0.00011641338972692212,0.0008407896184808861,True,False
23,Aco Altona,2019-01-01,0.35993514354583395,0.35989469807806074,4.044546777320912e-05,0.00022336302842541607,4.044546777320912e-05,False,True
24,Aco Altona,2019-04-01,0.3596736310979997,0.35989682678689094,0.0002231956888912312,0.00021759311420651732,0.0002231956888912312,False,True
25,Aco Altona,2019-07-01,0.3601719132249244,0.35988566700244634,0.0002862462224780815,0.00021759067114818714,0.0002862462224780815,False,True
26,Aco Altona,2019-10-01,0.35973236257015395,0.3598992977749453,0.00016693520479132973,0.00022092329482898993,0.00016693520479132973,False,True
27,Aco Altona,2020-01-01,0.3599126582961577,0.35989170981109114,2.0948485066563105e-05,0.00021862689371900172,2.0948485066563105e-05,False,True
28,Aco Altona,2020-04-01,0.35991569830191394,0.3598926206147897,2.3077687124228863e-05,0.00021386399269342001,2.3077687124228863e-05,False,True
29,Aco Altona,2020-07-01,0.3600917578068787,0.35989358218508655,0.00019817562179214043,0.00020941187071895368,0.00019817562179214043,False,True
30,Aco Altona,2020-10-01,0.3599470967045618,0.3599015092099582,4.55874946035939e-05,0.00020882361862031469,4.55874946035939e-05,False,True
