,Empresa,Data,Real,Previsto,Erro Absoluto,Train RMSE,Test RMSE,Overfitting?,Underfitting?
0,3tentos,2022-12-31,0.6403586322675379,0.639419645662139,0.0009389866053988172,0.0027454351392257217,0.0009389866053988172,False,True
1,3tentos,2023-03-31,0.6408947077582193,0.6396663488821634,0.0012283588760558795,0.0024992197830612925,0.0012283588760558795,False,True
2,3tentos,2023-06-30,0.6406333934765883,0.6398990205451492,0.0007343729314390757,0.0023440489940556647,0.0007343729314390757,False,True
3,3tentos,2023-09-30,0.6405722745324701,0.6399786701569987,0.0005936043754714015,0.002191652192669685,0.0005936043754714015,False,True
4,3tentos,2023-12-31,0.6405137548935311,0.6400555751254113,0.000458179768119793,0.002064197465471474,0.000458179768119793,False,True
5,3tentos,2024-03-31,0.6407213140246308,0.6401048149303232,0.0006164990943076099,0.0019543578838439294,0.0006164990943076099,False,True
6,3tentos,2024-06-30,0.6399368773660188,0.6401502351906315,0.00021335782461273656,0.0018658186122190907,0.00021335782461273656,False,True
7,3tentos,2024-09-30,0.639817428711315,0.6401354509949421,0.00031802228362709517,0.0017794051963594456,0.00031802228362709517,False,True
8,3tentos,2024-12-31,0.6406377998143867,0.6400429974206773,0.0005948023937094593,0.0016462743389050257,0.0005948023937094593,False,True
9,AES Brasil,2012-03-31,0.6416797901732328,0.6437617784972771,0.0020819883240442705,0.0024950297058411682,0.0020819883240442705,False,True
10,AES Brasil,2012-06-30,0.64548844514969,0.6433885981067708,0.0020998470429191007,0.0024314221394539435,0.0020998470429191007,False,True
11,AES Brasil,2012-09-30,0.6416782815994545,0.6436571962131079,0.001978914613653404,0.0023287730500077992,0.001978914613653404,False,True
12,AES Brasil,2012-12-31,0.6432240107901879,0.6434665157822077,0.0002425049920198319,0.0022885563320927445,0.0002425049920198319,False,True
13,AES Brasil,2013-03-31,0.6397611285208483,0.6434469906338982,0.003685862113049887,0.0021436563344090507,0.003685862113049887,False,True
14,AES Brasil,2013-06-30,0.6427079537479528,0.6429925152600375,0.00028456151208478,0.0023541551941273077,0.00028456151208478,False,True
15,AES Brasil,2013-09-30,0.6426588219961952,0.6430624951577314,0.0004036731615362221,0.002232357799262263,0.0004036731615362221,False,True
16,AES Brasil,2013-12-31,0.6434433454791972,0.6430219188495151,0.0004214266296821423,0.002132576458420291,0.0004214266296821423,False,True
17,AES Brasil,2014-03-31,0.6405177542420009,0.642985281605129,0.0024675273631281636,0.0019146009567966552,0.0024675273631281636,False,True
18,AES Brasil,2014-06-30,0.6452952934408254,0.6427450653513461,0.002550228089479245,0.0019162188503911816,0.002550228089479245,False,True
19,AES Brasil,2014-09-30,0.6422841638997904,0.6426462729694223,0.0003621090696319662,0.0018683995185991994,0.0003621090696319662,False,True
20,AES Brasil,2014-12-31,0.6429163322842342,0.6429535031483604,3.717086412624582e-05,0.0017001546357978928,3.717086412624582e-05,False,True
21,AES Brasil,2015-03-31,0.6386758127913338,0.6420988319646178,0.0034230191732840254,0.0014827277290140487,0.0034230191732840254,True,False
22,AES Brasil,2015-06-30,0.6431204021601561,0.6422788748210674,0.0008415273390887101,0.0014841121738888745,0.0008415273390887101,False,True
23,AES Brasil,2015-09-30,0.6426082196563299,0.6421904595908086,0.00041776006552129985,0.0014941168985013965,0.00041776006552129985,False,True
24,AES Brasil,2016-06-30,0.6434550016535705,0.6433286842760124,0.0001263173775580828,0.0013965931780527793,0.0001263173775580828,False,True
25,AES Brasil,2016-09-30,0.6410753296222852,0.6424440209662505,0.0013686913439653337,0.0013123000199286481,0.0013686913439653337,False,True
26,AES Brasil,2016-12-31,0.6414337135720674,0.6423805512593255,0.0009468376872581175,0.0013245867732292668,0.0009468376872581175,False,True
27,AES Brasil,2017-03-31,0.6404063476964317,0.6420400998100253,0.0016337521135936228,0.001222782058375728,0.0016337521135936228,False,True
28,AES Brasil,2017-06-30,0.641483029825654,0.6420694008141147,0.0005863709884607049,0.001283940589917273,0.0005863709884607049,False,True
29,AES Brasil,2017-09-30,0.6351751510592445,0.6417289999362153,0.006553848876970858,0.0012342719681388364,0.006553848876970858,True,False
30,AES Brasil,2017-12-31,0.6408396556683607,0.6407195898384015,0.00012006582995915949,0.0012892416549005364,0.00012006582995915949,False,True
31,AES Brasil,2018-03-31,0.6406422387113315,0.6401617681689792,0.0004804705423523403,0.0012808977951835104,0.0004804705423523403,False,True
32,AES Brasil,2018-06-30,0.6414376152430983,0.6407847579116855,0.0006528573314127373,0.001185331082905033,0.0006528573314127373,False,True
33,AES Brasil,2018-09-30,0.6410940077192092,0.6409449040077667,0.0001491037114424998,0.001145736125968353,0.0001491037114424998,False,True
34,AES Brasil,2018-12-31,0.6408161371116876,0.6405098344133489,0.00030630269833875623,0.0011447320172348011,0.00030630269833875623,False,True
35,AES Brasil,2019-03-31,0.6401210047648357,0.6400080609299944,0.00011294383484128367,0.001121001889784231,0.00011294383484128367,False,True
36,AES Brasil,2019-06-30,0.6415656540858993,0.6408307290409028,0.0007349250449965039,0.0010783844031491303,0.0007349250449965039,False,True
37,AES Brasil,2019-09-30,0.6410440891214161,0.6409007658309025,0.00014332329051358617,0.0011282723089155204,0.00014332329051358617,False,True
38,AES Brasil,2019-12-31,0.641111888117049,0.6406562185718252,0.00045566954522380243,0.0011201578802500199,0.00045566954522380243,False,True
39,AES Brasil,2020-03-31,0.6408283522180722,0.6408875497303839,5.919751231164838e-05,0.0010368103960552587,5.919751231164838e-05,False,True
40,AES Brasil,2020-06-30,0.6412620020610373,0.6404718499047741,0.000790152156263213,0.0010154369588010422,0.000790152156263213,False,True
41,AES Brasil,2020-09-30,0.641839525344951,0.6413454223467675,0.0004941029981835321,0.0010089416300408257,0.0004941029981835321,False,True
42,AES Brasil,2020-12-31,0.637331380522563,0.6403891068137638,0.003057726291200824,0.0009938689791564855,0.003057726291200824,True,False
43,AES Brasil,2021-03-31,0.6402286724351054,0.6400217019989594,0.00020697043614603672,0.0009816718315385463,0.00020697043614603672,False,True
