,Empresa,Data,Real,Previsto,Erro Absoluto,Train RMSE,Test RMSE,Overfitting?,Underfitting?
0,3tentos,2022-12-31,0.46060264803920997,0.45844027,0.0021623740390421253,0.0025215156191808565,0.0021623740390421253,False,True
1,3tentos,2023-03-31,0.4596543418610679,0.45887274,0.0007816063607322121,0.0024154869134104828,0.0007816063607322121,False,True
2,3tentos,2023-06-30,0.46023787343763145,0.459003,0.001234871986139141,0.0022241840388673036,0.001234871986139141,False,True
3,3tentos,2023-09-30,0.4611958387135134,0.4591794,0.002016437315808306,0.002104044347382056,0.002016437315808306,False,True
4,3tentos,2023-12-31,0.46033587227516587,0.45943147,0.0009044028347056643,0.0020780618529587878,0.0009044028347056643,False,True
5,3tentos,2024-03-31,0.46003324233123677,0.45953196,0.0005012794596852554,0.001979724704376547,0.0005012794596852554,False,True
6,3tentos,2024-06-30,0.45800874941447833,0.4595821,0.0015733409633292839,0.0018841429186617499,0.0015733409633292839,False,True
7,3tentos,2024-09-30,0.46018188394804604,0.45943904,0.0007428447176993647,0.0018525241413845594,0.0007428447176993647,False,True
8,3tentos,2024-12-31,0.46182887586058674,0.45950097,0.00232790740431843,0.0017854997450861589,0.00232790740431843,False,True
9,AES Brasil,2012-03-31,0.45850858441253245,0.46461162,0.006103035298389792,0.002637551068616839,0.006103035298389792,True,False
10,AES Brasil,2012-06-30,0.46629156753379475,0.463391,0.0029005615409053442,0.003394825605776953,0.0029005615409053442,False,True
11,AES Brasil,2012-09-30,0.4629410546026537,0.46387443,0.0009333748616864868,0.003282155578945974,0.0009333748616864868,False,True
12,AES Brasil,2012-12-31,0.46326537100402726,0.4637411,0.00047572286995040125,0.003056188213714896,0.00047572286995040125,False,True
13,AES Brasil,2013-03-31,0.4578492296914889,0.46368164,0.005832408549325319,0.002863128206905767,0.005832408549325319,True,False
14,AES Brasil,2013-06-30,0.463801408890131,0.4630336,0.0007678221496372206,0.0032628756202703617,0.0007678221496372206,False,True
15,AES Brasil,2013-09-30,0.4627637797787537,0.46311036,0.00034657774421076315,0.0031039945059799447,0.00034657774421076315,False,True
16,AES Brasil,2013-12-31,0.463489932596176,0.46307886,0.00041107612797530724,0.002961219337404718,0.00041107612797530724,False,True
17,AES Brasil,2014-03-31,0.45950257316583415,0.46311313,0.0036105559731123837,0.002837427256075874,0.0036105559731123837,False,True
18,AES Brasil,2014-06-30,0.46673785119422545,0.46283537,0.0039024796999322375,0.002890902826462616,0.0039024796999322375,False,True
19,AES Brasil,2014-09-30,0.4595371809112493,0.46311414,0.003576961506658427,0.002961498554996717,0.003576961506658427,False,True
20,AES Brasil,2014-12-31,0.46244268613847217,0.46287566,0.0004329780956892071,0.002996978541426113,0.0004329780956892071,False,True
21,AES Brasil,2015-03-31,0.4586158420374167,0.4628486,0.004232761688016673,0.0029037040848444028,0.004232761688016673,False,True
22,AES Brasil,2015-06-30,0.464942595296222,0.4625996,0.00234298997433785,0.00298788066508598,0.00234298997433785,False,True
23,AES Brasil,2015-09-30,0.46148643851280946,0.46272978,0.001243343353264148,0.002952878986768347,0.001243343353264148,False,True
24,AES Brasil,2016-06-30,0.46349475438349313,0.46266434,0.0008304184173829054,0.0028874997215508043,0.0008304184173829054,False,True
25,AES Brasil,2016-09-30,0.4609707244132502,0.46270585,0.0017351261879460789,0.0028201998311237187,0.0017351261879460789,False,True
26,AES Brasil,2016-12-31,0.4610336812445176,0.46262324,0.0015895573190199963,0.002776927758683418,0.0015895573190199963,False,True
27,AES Brasil,2017-03-31,0.46026191590290505,0.462551,0.0022890818311647743,0.002733210938327519,0.0022890818311647743,False,True
