,Empresa,knn_MAE,knn_train_RMSE,knn_test_RMSE,xgb_MAE,xgb_train_RMSE,xgb_test_RMSE,ARIMA_MAE,ARIMA_train_RMSE,ARIMA_test_RMSE,RF_MAE,RF_train_RMSE,RF_test_RMSE,Lasso_MAE,Lasso_train_RMSE,Lasso_test_RMSE
0,3tentos,0.005229177628011356,0.005851279466865445,0.005229177628011356,0.006243650750655145,0.00866323225848521,0.006243650750655145,0.0051680014448859,0.0099435931907608,0.0051680014448859,0.006376466794757788,0.008622466340809333,0.006376466794757788,0.006243650864966478,0.0086632322584852,0.006243650864966478
1,Aco Altona,0.00035360269703619824,0.00028083509275432435,0.00035360269703619824,0.00036143858703508797,0.0003698909341795841,0.00036143858703508797,0.000573514306194025,0.0005791226713155996,0.000573514306194025,0.00028642506870917803,0.0002047518154382017,0.00028642506870917803,0.0003614385872674907,0.0003698909341795841,0.0003614385872674907
2,Aeris,0.0032113638591041997,0.004726368952495675,0.0032113638591041997,0.004010082282035234,0.006806862873739275,0.004010082282035234,0.0035235728067887916,0.0065611746764551076,0.0035235728067887916,0.0039804448847154915,0.006601213397902666,0.0039804448847154915,0.004010082307993633,0.006806862873739275,0.004010082307993633
3,Afluente T,0.00038751509428984737,0.00029426441292573053,0.00038751509428984737,0.00036393306806757657,0.0003438936884346591,0.00036393306806757657,0.0005429811297771719,0.0003268116203884519,0.0005429811297771719,0.00024662964005105865,0.0001954549963394258,0.00024662964005105865,0.0003639330683630249,0.0003438936884346591,0.0003639330683630249
4,Agrogalaxy,0.0089171805757343,0.007636489766523837,0.0089171805757343,0.012790017081893312,0.011182313353759337,0.012790017081893312,0.013758685963216475,0.013125816073787712,0.013758685963216475,0.012836805368859137,0.011187120774064838,0.012836805368859137,0.0127900170471036,0.011182313353759337,0.0127900170471036
5,Alfa Holding,0.00013656072094246987,0.00011023038274450801,0.00013656072094246987,0.00012473404404154888,0.00013256578051846262,0.00012473404404154888,0.00014902311897693402,0.0001606229350539107,0.00014902311897693402,9.68929031165325e-05,7.474825336254951e-05,9.68929031165325e-05,0.00012473404402668398,0.00013256578051846262,0.00012473404402668398
6,Alliar,0.0010783785523476083,0.001371953158174243,0.0010783785523476083,0.0014879447255365882,0.0023880660651025678,0.0014879447255365882,0.0016088747282833895,0.0027698683607821034,0.0016088747282833895,0.0012132380766001895,0.0018913603925140143,0.0012132380766001895,0.0014879447165354381,0.0023880660651025678,0.0014879447165354381
7,Allied,0.0017002863704044964,0.00167818363616162,0.0017002863704044964,0.00251586438582097,0.00216953300903072,0.00251586438582097,0.0032916554542998,0.002459294375239,0.0032916554542998,0.0025053731706095,0.00213217290572347,0.0025053731706095,0.00251586438870347,0.00216953300903072,0.00251586438870347
8,Allos,0.0055835196369107476,0.0021166326879864896,0.0055835196369107476,0.008410185657513823,0.004305402374589387,0.008410185657513823,0.008627351312944113,0.004058124376150866,0.008627351312944113,0.006999631901642395,0.0024698738553127282,0.006999631901642395,0.008410185657926828,0.004305402374589387,0.008410185657926828
9,Alpargatas,0.007674850630861917,0.004799553860123815,0.007674850630861917,0.008760637880925015,0.00734347246647671,0.008760637880925015,0.009423626496784908,0.00658842721027753,0.009423626496784908,0.007647607797824564,0.004989921384409843,0.007647607797824564,0.008760637879350518,0.00734347246647671,0.008760637879350518
10,Alphaville,0.000724307920544,0.0031178934508076,0.000724307920544,0.0007243077496656,0.0031178934508076,0.0007243077496656,0.0027803236261307,0.0033863107819545,0.0027803236261307,0.0009664152260327,0.0031272792516755,0.0009664152260327,0.000724307920544,0.0031178934508076,0.000724307920544
11,Alupar,0.004492377390819336,0.004839712212367895,0.004492377390819336,0.008811857580408965,0.011064102301347165,0.008811857580408965,0.008943086305683112,0.011568829791991923,0.008943086305683112,0.006654647096786805,0.006945978129596719,0.006654647096786805,0.008811857554085274,0.011064102301347162,0.008811857554085274
12,Ambev S/A,0.03169257074570363,0.029426879360704677,0.03169257074570363,0.07873231583132041,0.0722198155845721,0.07873231583132041,0.0698021472366385,0.06790785360233823,0.0698021472366385,0.053160328032760704,0.04286871939529143,0.053160328032760704,0.08252882406735262,0.0759940462393178,0.08252882406735262
13,Ambipar,0.008248691002608766,0.0052692617827323,0.008248691002608766,0.011674943031886232,0.010794868670692459,0.011674943031886232,0.011692675088028284,0.009468218836747292,0.011692675088028284,0.011295060785264259,0.010211582481909483,0.011295060785264259,0.011674942998630875,0.010794868670692459,0.011674942998630875
14,Americanas,0.0388972983582769,0.008364736439911834,0.0388972983582769,0.05126211868551374,0.017612817387622885,0.05126211868551374,0.047861699324027326,0.013500456880403935,0.047861699324027326,0.04842271837200733,0.010479610199467493,0.04842271837200733,0.05126211871378243,0.017612817387622885,0.05126211871378243
15,Ampla Energ,0.008861962951695399,0.004914399875741646,0.008861962951695399,0.01570923100225435,0.011588519187610766,0.01570923100225435,0.01597782782726883,0.011287205376875149,0.01597782782726883,0.012252150087870417,0.007250838216058869,0.012252150087870417,0.01570923100630189,0.011588519187610766,0.01570923100630189
16,Anima,0.011298067324019279,0.0073382217012542715,0.011298067324019279,0.015276622370680957,0.011863110181579421,0.015276622370680957,0.013368049142902768,0.008391814001523164,0.013368049142902768,0.013821111221817112,0.0071124940894807896,0.013821111221817112,0.015276622359081232,0.011863110181579418,0.015276622359081232
17,Armac,0.006602156209833228,0.006612963238300971,0.006602156209833228,0.00874355866922157,0.009175960501893272,0.00874355866922157,0.009810072665837844,0.008270193668423515,0.009810072665837844,0.008917405497488486,0.009186354732734629,0.008917405497488486,0.008743558673263471,0.009175960501893272,0.008743558673263471
18,Assai,0.016328757548036043,0.021096421732435474,0.016328757548036043,0.028043724432099692,0.036821042134392086,0.028043724432099692,0.02540968653605151,0.041647081992511666,0.02540968653605151,0.027466737531233798,0.03558492508700935,0.027466737531233798,0.028043724440032183,0.036821042134392086,0.028043724440032183
19,Atmasa,0.005031367242446058,0.005934400816496358,0.005031367242446058,0.0049827115266361955,0.007933848025828538,0.0049827115266361955,0.005540750246267748,0.008216825956030262,0.005540750246267748,0.0047064735857197245,0.006335490680258919,0.0047064735857197245,0.004982711528854087,0.007933848025828538,0.004982711528854087
20,Aura 360,0.0066135377472102425,0.005862007788690815,0.0066135377472102425,0.007803992809712472,0.007332623682917472,0.007803992809712472,0.010820596422958429,0.008755128095948457,0.010820596422958429,0.007689155287077571,0.007353819413384785,0.007689155287077571,0.007803992781705329,0.007332623682917472,0.007803992781705329
21,Auren,0.026175861588390643,0.016341239581704158,0.026175861588390643,0.03649665951958283,0.02269793262966373,0.03649665951958283,0.03786378414714979,0.025807155652834757,0.03786378414714979,0.036469853324353485,0.022748056402239127,0.036469853324353485,0.0364966595028063,0.02269793262966373,0.0364966595028063
22,Azevedo,0.0010578910614799776,0.0005183848862646204,0.0010578910614799776,0.0011190308509263598,0.000677394972431247,0.0011190308509263598,0.0016807870827453772,0.0010321202441846368,0.0016807870827453772,0.0009155115003829638,0.0005167089112524212,0.0009155115003829638,0.0011190308512264702,0.000677394972431247,0.0011190308512264702
23,Azzas 2154,0.0036678523822324784,0.0012267831456992374,0.0036678523822324784,0.004982198396058767,0.001967070527135465,0.004982198396058767,0.005020687096499605,0.001945699304745015,0.005020687096499605,0.004137679030038092,0.00111977589523845,0.004137679030038092,0.004982198394334028,0.001967070527135465,0.004982198394334028
24,B3,0.02555458294272006,0.023761874040042277,0.02555458294272006,0.04069707623972247,0.04926884794434257,0.04069707623972247,0.04497488970146314,0.049190766197274846,0.04497488970146314,0.03095924420869261,0.030914285143429265,0.03095924420869261,0.040697076213151814,0.04926884794434256,0.040697076213151814
25,BRF SA,0.018540666025494777,0.012399235812070796,0.018540666025494777,0.03590835605829503,0.03440032329846784,0.03590835605829503,0.031961606943011214,0.029948968448652226,0.031961606943011214,0.028071050461183807,0.020555774646098524,0.028071050461183807,0.0359083560723857,0.03440032329846784,0.0359083560723857
26,Bardella,0.0005175157419022299,0.0005532851706014158,0.0005175157419022299,0.0005118821013746646,0.0008002167591276053,0.0005118821013746646,0.000602607725278432,0.0010508272571517685,0.000602607725278432,0.00047684024633583397,0.0006847273511180948,0.00047684024633583397,0.0005118821007777614,0.0008002167591276053,0.0005118821007777614
27,Baumer,9.251015507348092e-05,8.544603153211375e-05,9.251015507348092e-05,9.673447885196954e-05,0.00010337688154662971,9.673447885196954e-05,0.00013996492103515078,0.00014328748625385096,0.00013996492103515078,6.831604050211947e-05,6.274195863330283e-05,6.831604050211947e-05,9.673447889974388e-05,0.00010337688154662971,9.673447889974388e-05
28,Bemobi Tech,0.0018673151549051998,0.005727334446873591,0.0018673151549051998,0.004097623322448018,0.006658888753235445,0.004097623322448018,0.0006116369992979,0.006511175654635436,0.0006116369992979,0.0037450845008680997,0.006484984488107763,0.0037450845008680997,0.0040976232034893095,0.006658888753235437,0.0040976232034893095
29,Bic Monark,0.00012380753713118288,0.00017043138288293588,0.00012380753713118288,0.00010110979779270105,0.00019596060846214359,0.00010110979779270105,0.00011565398717209193,0.0001833041157028205,0.00011565398717209193,7.575124715272689e-05,0.00014520428234500392,7.575124715272689e-05,0.00010110979773417731,0.00019596060846214359,0.00010110979773417731
30,Bioma Educ,0.0007372141291363666,0.0004509367889927742,0.0007372141291363666,0.0007281568129311648,0.0005714163865219129,0.0007281568129311648,0.0010696842721506631,0.0007029638452141033,0.0010696842721506631,0.000628503641891682,0.0003827954878062968,0.000628503641891682,0.0007281568107659061,0.0005714163865219129,0.0007281568107659061
31,Biomm,0.0008124343116405591,0.000501602076953641,0.0008124343116405591,0.0007283209250623986,0.0006229179990720641,0.0007283209250623986,0.0009738087256235235,0.0008062394741453077,0.0009738087256235235,0.0005373439073591619,0.00036931228983074616,0.0005373439073591619,0.0007283209219150088,0.0006229179990720641,0.0007283209219150088
32,Blau,0.00287586694360706,0.00427156591057771,0.00287586694360706,0.004093589128845819,0.006283363798259089,0.004093589128845819,0.00257697993292257,0.005623762094635549,0.00257697993292257,0.00394912247271894,0.00616734195102556,0.00394912247271894,0.00409358907110004,0.006283363798259089,0.00409358907110004
33,Boa Safra,0.005467089130407025,0.004102871978129838,0.005467089130407025,0.0054054218430747755,0.004443454544017,0.0054054218430747755,0.00657569084884815,0.0049649431578219,0.00657569084884815,0.00545112094991505,0.004448100072179337,0.00545112094991505,0.0054054218208296,0.004443454544017,0.0054054218208296
34,Bradespar,0.014783003993794308,0.010784759297715031,0.014783003993794308,0.01942380884736977,0.02123042369846346,0.01942380884736977,0.016772055666343665,0.020172672704826405,0.016772055666343665,0.013890381012429103,0.011982827447168541,0.013890381012429103,0.019423808839318074,0.02123042369846346,0.019423808839318074
35,Brasilagro,0.0022926049367027537,0.0012080037868392524,0.0022926049367027537,0.002496164427996589,0.0015421361754976526,0.002496164427996589,0.002484135732944907,0.0016442702864116702,0.002484135732944907,0.001797340449540182,0.00089938554722452,0.001797340449540182,0.0024961644272566163,0.0015421361754976526,0.0024961644272566163
36,Braskem,0.039323864701185075,0.03909454112995404,0.039323864701185075,0.05666617190510916,0.06544300920149725,0.05666617190510916,0.07270618298820009,0.06333217151681819,0.07270618298820009,0.05380297269373384,0.04148357299128209,0.05380297269373384,0.05666617187085334,0.06544300920149725,0.05666617187085334
37,Brava,0.03707962522565921,0.019399025896195774,0.03707962522565921,0.04720886354969609,0.029537047749159967,0.04720886354969609,0.059484145552791724,0.028798469447816638,0.059484145552791724,0.04679447186858216,0.027769408002750476,0.04679447186858216,0.047208863428099886,0.029537047749159957,0.047208863428099886
38,CCR SA,0.01703824098578994,0.011989703868711345,0.01703824098578994,0.03216913429697842,0.028377874153967253,0.03216913429697842,0.02580588918134053,0.025697557185466686,0.02580588918134053,0.024762817781255442,0.01771358875213635,0.024762817781255442,0.032169134280777466,0.028377874153967253,0.032169134280777466
39,CPFL Energia,0.016771944344887005,0.013684352071461339,0.016771944344887005,0.03576650499104697,0.032612876029601084,0.03576650499104697,0.03569568519102149,0.03384529494431189,0.03569568519102149,0.0284105505576903,0.018922939429407513,0.0284105505576903,0.0357665050122975,0.032612876029601084,0.0357665050122975
40,Caixa Seguri,0.022212244048651127,0.011807256949639936,0.022212244048651127,0.02511615657547812,0.016316574392545056,0.02511615657547812,0.0166913003884943,0.010406212983792263,0.0166913003884943,0.025195390166084575,0.015284072118528709,0.025195390166084575,0.02511615658780075,0.016316574392545056,0.02511615658780075
41,Cambuci,0.00031039234066596434,0.00040035037032365624,0.00031039234066596434,0.000315750110699114,0.0004682088163855656,0.000315750110699114,0.000382438344906758,0.0005020837378517218,0.000382438344906758,0.00025928545586539073,0.00033920124917310936,0.00025928545586539073,0.00031575011108101565,0.0004682088163855656,0.00031575011108101565
42,Camil,0.005325365543257206,0.005098260862593862,0.005325365543257206,0.013019895704988025,0.0121428890173342,0.013019895704988025,0.00609622271131005,0.009098776731796787,0.00609622271131005,0.010636342378314916,0.010219357874199612,0.010636342378314916,0.013019895715218626,0.0121428890173342,0.013019895715218626
43,Carrefour BR,0.023379484682163703,0.014929422478744632,0.023379484682163703,0.039685539640573204,0.03102718918061056,0.039685539640573204,0.03479484157757898,0.026343746866819305,0.03479484157757898,0.03077796833096537,0.020107786147149045,0.03077796833096537,0.039685539613551854,0.03102718918061057,0.039685539613551854
44,Casan,0.0003883932471325,0.000966291916766,0.0003883932471325,0.00041987183516970005,0.0010469274136496,0.00041987183516970005,0.0012147251293241,0.0012703776799197,0.0012147251293241,0.0004625962695542,0.00104795813469425,0.0004625962695542,0.00041987183401255,0.0010469274136496,0.00041987183401255
45,Casas Bahia,0.013408251814678283,0.010679385629173196,0.013408251814678283,0.021052482755722166,0.021883418174678555,0.021052482755722166,0.020894873697107772,0.018965742445919642,0.020894873697107772,0.015843532546874855,0.013592473657519038,0.015843532546874855,0.021052482766659282,0.02188341817467855,0.021052482766659282
46,Cba,0.00777669804493991,0.00572111428821224,0.00777669804493991,0.01090946353515082,0.0087341082700596,0.01090946353515082,0.010624380712160961,0.00857521607285517,0.010624380712160961,0.01081201657512786,0.00858622085069204,0.01081201657512786,0.010909463577545771,0.0087341082700596,0.010909463577545771
47,Cea Modas,0.004032096997303876,0.008092524144660676,0.004032096997303876,0.005967059404305424,0.012200815279338917,0.005967059404305424,0.005184789385728235,0.014234379024170287,0.005184789385728235,0.005169185385053141,0.011016631944751918,0.005169185385053141,0.005967059414474618,0.012200815279338917,0.005967059414474618
48,Ceb,0.0042977360022241,0.0031416178603634,0.0042977360022241,0.005077963927809033,0.003505241702952567,0.005077963927809033,0.0091844630221239,0.0032843451166881337,0.0091844630221239,0.0051574638062719,0.0035082971313399667,0.0051574638062719,0.005077963924943633,0.003505241702952567,0.005077963924943633
49,Cedro,0.0004444947371898449,0.0003861300272860833,0.0004444947371898449,0.00042942186100364255,0.00043194546769442224,0.00042942186100364255,0.000764641853704827,0.0007353714013639,0.000764641853704827,0.0003427009865081435,0.00029126811256575,0.0003427009865081435,0.00042942186157707654,0.00043194546769442224,0.00042942186157707654
50,Ceg,0.0030012312620695,0.0015715418303423874,0.0030012312620695,0.004295503592185787,0.002415225205470525,0.004295503592185787,0.0032147649248953063,0.0021553279651246875,0.0032147649248953063,0.003817963437768081,0.0019331728584245688,0.003817963437768081,0.004295503593512694,0.002415225205470525,0.004295503593512694
51,Celesc,0.006687365541605541,0.014090760746395908,0.006687365541605541,0.01089271196106524,0.023446873772114192,0.01089271196106524,0.01128310522666516,0.02444936747706519,0.01128310522666516,0.008880595182023788,0.01787878788201442,0.008880595182023788,0.010892711966787306,0.023446873772114196,0.010892711966787306
52,Cemig,0.023252647492164213,0.02383999746950743,0.023252647492164213,0.039368323548857394,0.06181791897000609,0.039368323548857394,0.03330182906321278,0.0681971089641454,0.03330182906321278,0.03002987177041353,0.043186141967271864,0.03002987177041353,0.03936832350071399,0.06181791897000609,0.03936832350071399
53,Clearsale,0.00125588068242036,0.0044198757642825446,0.00125588068242036,0.003930642421764511,0.005892681083868422,0.003930642421764511,0.0003619189878884499,0.005394977670177478,0.0003619189878884499,0.003816678005074523,0.005853633234618678,0.003816678005074523,0.003930642403257633,0.005892681083868422,0.003930642403257633
54,Coelba,0.005829510516377528,0.004268800264585917,0.005829510516377528,0.01241254184355531,0.01066461934595453,0.01241254184355531,0.012011843126597989,0.009794768875322575,0.012011843126597989,0.0095515760833842,0.00635870171627808,0.0095515760833842,0.012412541844025725,0.01066461934595453,0.012412541844025725
55,Coelce,0.003455299847339055,0.002250492476590165,0.003455299847339055,0.007240783064643923,0.0056605327025089375,0.007240783064643923,0.006077991554379233,0.004669086276954523,0.006077991554379233,0.00483048460725452,0.0033035043090043174,0.00483048460725452,0.007240783067004518,0.0056605327025089375,0.007240783067004518
56,Cogna ON,0.019514460625885473,0.018085828077913445,0.019514460625885473,0.027019717838128808,0.03224059903525748,0.027019717838128808,0.023540967491334837,0.024659242863658875,0.023540967491334837,0.02624311772283988,0.017882211718416807,0.02624311772283988,0.027019717849441093,0.03224059903525747,0.027019717849441093
57,Comgas,0.009520417571982541,0.0062481186834583,0.009520417571982541,0.018079714446300774,0.014223325942034544,0.018079714446300774,0.01520062778095077,0.011792066292690731,0.01520062778095077,0.013131518542300595,0.008346625259458921,0.013131518542300595,0.018079714452308975,0.014223325942034539,0.018079714452308975
58,Const A Lind,0.00041539922526052724,0.0003596598359961258,0.00041539922526052724,0.0003715179827255098,0.0003875535625664458,0.0003715179827255098,0.0006069673704749197,0.0005996532541128325,0.0006069673704749197,0.0003735139702578848,0.000379948638687134,0.0003735139702578848,0.0003715179814648008,0.0003875535625664458,0.0003715179814648008
59,Copasa,0.0030442473789799155,0.0022336896180196746,0.0030442473789799155,0.005275114099964996,0.004542833932027862,0.005275114099964996,0.005770740451802403,0.004495733326575343,0.005770740451802403,0.003963947282984859,0.002884960770728246,0.003963947282984859,0.005275114094492767,0.004542833932027862,0.005275114094492767
60,Copel,0.010599723559605992,0.007024772647513762,0.010599723559605992,0.023223776050248973,0.01942514206018151,0.023223776050248973,0.020528964128465742,0.01989914138371354,0.020528964128465742,0.01672012303026825,0.011710199718635378,0.01672012303026825,0.023223776055901982,0.01942514206018151,0.023223776055901982
61,Cosan,0.0243360726519204,0.016317368432800905,0.0243360726519204,0.040945792966056146,0.03441778255426961,0.040945792966056146,0.03584132795431983,0.02849148548619925,0.03584132795431983,0.02916074297963176,0.019834451370243804,0.02916074297963176,0.04094579300110419,0.03441778255426961,0.04094579300110419
62,Coteminas,0.002099350472320012,0.002053345815260806,0.002099350472320012,0.00351847038315205,0.0037252956515968,0.00351847038315205,0.0027774491027565624,0.0038484292526635125,0.0027774491027565624,0.0026449002885799767,0.0027176738704624967,0.0026449002885799767,0.003518470382615431,0.0037252956515968,0.003518470382615431
63,Cristal,0.0005706034339295149,0.000438478795819975,0.0005706034339295149,0.0005550500688692418,0.0004938399723577399,0.0005550500688692418,0.0007659561451905746,0.00058138624248665,0.0007659561451905746,0.0004422190297650912,0.00035119892154281503,0.0004422190297650912,0.0005550500691537751,0.0004938399723577399,0.0005550500691537751
