,Nome,Data,EBITDA,LG,DE,GMV,ROA,ROE,FCLA,FCLF
2,3tentos,2021-07-01,119436.0,1.6,43.7,4694121.0,2.2,4.7,186785.0,-1108032.0
3,3tentos,2021-10-01,83550.0,1.7,35.8,4807768.0,3.8,7.5,-119487.0,-94868.0
4,3tentos,2022-01-01,54560.0,1.5,55.7,4887747.0,1.1,2.5,-320523.0,-409704.0
5,3tentos,2022-07-01,108988.0,1.4,44.5,5458398.0,2.9,6.5,596343.0,28224.0
6,3tentos,2022-10-01,249174.0,1.4,38.9,4632208.0,3.7,7.9,-249977.0,69746.0
7,3tentos,2023-01-01,122485.0,1.3,44.7,6084219.0,1.6,3.6,69290.0,-51423.0
8,3tentos,2023-04-01,53506.0,1.3,45.6,6402037.0,1.2,2.6,-335243.0,-123969.0
9,3tentos,2023-07-01,177688.0,1.4,39.8,6377126.0,3.3,6.9,515970.0,72149.0
10,3tentos,2023-10-01,145608.0,1.4,38.0,5997883.0,2.6,5.2,106742.0,-173620.0
11,3tentos,2024-01-01,208771.0,1.3,41.0,5240675.0,2.1,4.5,-183971.0,-45798.0
12,3tentos,2024-04-01,400532.0,1.3,54.8,4916169.0,1.7,4.0,34112.0,-484117.0
13,3tentos,2024-07-01,365397.0,1.3,50.2,5639488.0,3.7,8.1,28208.0,4443.0
14,3tentos,2024-10-01,365961.0,1.3,51.1,6845103.0,1.5,3.4,108937.0,231021.0
51,Aco Altona,2014-01-01,8821.0,0.5,56.8,51345.0,1.2,4.4,3460.0,-1.0
52,Aco Altona,2014-04-01,6452.0,0.5,54.8,57848.0,0.7,2.6,3889.0,3531.0
53,Aco Altona,2014-07-01,5792.0,0.5,53.0,48500.0,0.8,2.7,5852.0,591.0
54,Aco Altona,2014-10-01,2316.0,0.5,69.1,46013.0,-0.1,-0.5,-6644.0,-543.0
55,Aco Altona,2015-01-01,1587.0,0.5,85.9,34853.0,-1.0,-3.8,-10090.0,-2291.0
56,Aco Altona,2015-04-01,2765.0,0.5,73.0,37080.0,-0.5,-2.1,8528.0,7811.0
57,Aco Altona,2015-07-01,8063.0,0.5,71.6,36947.0,0.6,2.5,-415.0,-4819.0
58,Aco Altona,2015-10-01,6129.0,0.5,74.1,39332.0,0.9,3.5,3895.0,-1231.0
59,Aco Altona,2016-01-01,5457.0,0.5,56.6,28553.0,0.2,0.5,6910.0,10089.0
60,Aco Altona,2016-04-01,-2712.0,0.5,59.2,29700.0,-1.5,-5.8,2964.0,4373.0
61,Aco Altona,2016-07-01,-2662.0,0.5,65.2,27788.0,-1.7,-6.7,3847.0,1788.0
62,Aco Altona,2016-10-01,12709.0,0.5,60.9,23783.0,2.5,8.8,-5570.0,12980.0
63,Aco Altona,2017-01-01,2753.0,0.5,56.0,37530.0,-0.1,-0.2,1260.0,2849.0
65,Aco Altona,2017-07-01,7449.0,0.5,42.0,52643.0,1.0,3.6,2719.0,1992.0
66,Aco Altona,2017-10-01,40618.0,0.6,55.6,74250.0,10.1,26.0,-20228.0,56709.0
67,Aco Altona,2018-01-01,8252.0,0.6,52.3,130478.0,1.4,3.6,769.0,172.0
68,Aco Altona,2018-07-01,7431.0,0.7,79.1,110925.0,1.2,3.6,-46389.0,-36223.0
69,Aco Altona,2018-10-01,7291.0,0.7,53.2,94283.0,0.7,1.6,90821.0,47007.0
70,Aco Altona,2019-01-01,11478.0,0.8,47.7,122880.0,1.7,3.6,7029.0,-4707.0
71,Aco Altona,2019-04-01,9127.0,0.9,44.2,104430.0,1.4,2.9,-22047.0,4304.0
72,Aco Altona,2019-07-01,11384.0,0.8,49.6,196140.0,1.3,2.8,33354.0,-12650.0
73,Aco Altona,2019-10-01,5256.0,0.8,53.8,220013.0,0.5,1.0,-15517.0,42702.0
74,Aco Altona,2020-01-01,7986.0,0.9,72.0,138190.0,1.1,2.8,4529.0,15358.0
75,Aco Altona,2020-04-01,12406.0,0.9,65.3,188684.0,0.9,2.3,4867.0,6645.0
76,Aco Altona,2020-07-01,11164.0,0.9,65.4,180795.0,2.4,6.0,24442.0,-25454.0
77,Aco Altona,2020-10-01,11225.0,0.9,50.8,190118.0,1.4,3.2,8358.0,2983.0
78,Aco Altona,2021-01-01,8727.0,0.9,54.6,218745.0,1.3,3.2,10524.0,969.0
79,Aco Altona,2021-04-01,11581.0,0.9,46.2,230775.0,1.3,3.0,-12064.0,6980.0
80,Aco Altona,2021-07-01,18358.0,0.9,60.5,192083.0,2.6,6.3,-4796.0,-10947.0
81,Aco Altona,2021-10-01,18770.0,0.8,69.3,218288.0,2.6,6.8,-6666.0,-15635.0
82,Aco Altona,2022-01-01,21812.0,0.7,59.8,186038.0,2.2,5.7,-1736.0,12579.0
83,Aco Altona,2022-04-01,20723.0,0.8,63.2,156938.0,2.4,6.4,-2365.0,7811.0
84,Aco Altona,2022-07-01,17186.0,0.7,62.6,200903.0,1.3,3.4,9278.0,21803.0
85,Aco Altona,2022-10-01,16091.0,0.7,59.4,173175.0,1.3,3.1,3980.0,-22751.0
86,Aco Altona,2023-01-01,18294.0,0.7,55.0,159525.0,1.6,4.0,8980.0,14547.0
87,Aco Altona,2023-04-01,18326.0,0.7,49.1,183383.0,1.8,4.2,4746.0,-10645.0
88,Aco Altona,2023-07-01,18826.0,0.7,51.4,192473.0,1.7,4.1,44.0,-1135.0
89,Aco Altona,2023-10-01,20445.0,0.8,52.3,214508.0,3.9,9.1,10386.0,2574.0
90,Aco Altona,2024-01-01,26721.0,0.8,50.2,237368.0,2.3,5.3,2565.0,11052.0
91,Aco Altona,2024-04-01,25766.0,0.8,46.7,251805.0,2.1,4.8,19754.0,12678.0
92,Aco Altona,2024-07-01,37346.0,0.9,42.5,332085.0,3.2,7.1,10915.0,423.0
96,Aeris,2020-10-01,51925.0,1.2,118.3,7662135.0,0.7,1.6,-349397.0,-620271.0
97,Aeris,2021-01-01,57430.0,1.1,148.5,6773327.0,0.8,2.3,-178097.0,-590653.0
98,Aeris,2021-04-01,49029.0,1.1,110.9,7600837.0,0.8,1.9,1073.0,189469.0
99,Aeris,2021-07-01,61080.0,1.0,141.6,6122046.0,0.3,0.9,95763.0,-450299.0
100,Aeris,2021-10-01,73393.0,1.0,145.9,4999048.0,0.6,1.8,21791.0,76286.0
101,Aeris,2022-01-01,51820.0,1.0,147.8,4421418.0,0.0,0.1,-146947.0,54320.0
102,Aeris,2022-04-01,69093.0,1.0,171.3,2135147.0,-0.9,-3.0,2149.0,-59233.0
103,Aeris,2022-07-01,64591.0,1.0,167.0,1532730.0,-0.7,-2.8,10571.0,87168.0
104,Aeris,2022-10-01,81311.0,1.0,205.3,845004.0,-1.0,-4.5,33820.0,36340.0
