,Empresa,knn_MAE,knn_train_RMSE,knn_test_RMSE,xgb_MAE,xgb_train_RMSE,xgb_test_RMSE,ARIMA_MAE,ARIMA_train_RMSE,ARIMA_test_RMSE,RF_MAE,RF_train_RMSE,RF_test_RMSE,Lasso_MAE,Lasso_train_RMSE,Lasso_test_RMSE
0,3tentos,0.0002568960727355402,6.010807828056301e-05,0.0002568960727355402,0.0002490324657116683,6.593543216727926e-05,0.0002490324657116683,0.00032976709559141344,9.819906252125576e-05,0.00032976709559141344,0.00024865543126270813,6.514525845867754e-05,0.00024865543126270813,0.00024902075256855714,6.59354304212901e-05,0.00024902075256855714
1,Aco Altona,0.0024944160862901,0.023239560819880004,0.0024944160862901,0.014403961464022858,0.034041661995096915,0.014403961464022858,0.0004881870453336787,0.027769019037832545,0.0004881870453336787,0.009777517982038476,0.028123647714042646,0.009777517982038476,0.014403956926360335,0.03404166199509207,0.014403956926360335
2,Aeris,0.00010277750617829718,6.939861599811923e-05,0.00010277750617829718,9.851124681545666e-05,7.348462913045242e-05,9.851124681545666e-05,0.00018957876330097945,9.131173498233706e-05,0.00018957876330097945,9.924303018209494e-05,7.105306120945238e-05,9.924303018209494e-05,9.851344233365466e-05,7.348462622643668e-05,9.851344233365466e-05
3,Afluente T,0.00013365145815143472,9.966124245059644e-05,0.00013365145815143472,0.00011447235115409115,0.00011489505791276164,0.00011447235115409115,0.0001657133778760103,0.00013405638868929973,0.0001657133778760103,0.00010676369241238208,8.434364934421275e-05,0.00010676369241238208,0.00011447380488107833,0.0001148950553392102,0.00011447380488107833
4,Agrogalaxy,0.00041418489602891687,0.00030037297499651715,0.00041418489602891687,0.0005245101481299887,0.0003746991392364998,0.0005245101481299887,0.0008288371093893342,0.000543513489286253,0.0008288371093893342,0.0005771536377439696,0.00037870635839825403,0.0005771536377439696,0.0005245151496529987,0.000374699132650929,0.0005245151496529987
5,Alfa Holding,0.0001127698641804396,0.0001528766880301375,0.0001127698641804396,9.940351843536484e-05,0.0001656025425459725,9.940351843536484e-05,0.00011371053791237325,0.000203853920097875,0.00011371053791237325,9.26976448578958e-05,0.0001309145473350776,9.26976448578958e-05,9.940505531182233e-05,0.00016560254163761499,9.940505531182233e-05
6,Alliar,7.56647057103498e-05,0.00011015914167485508,7.56647057103498e-05,5.7932368009669125e-05,0.00012695260273722143,5.7932368009669125e-05,7.702277294783888e-05,0.0001554246784874,7.702277294783888e-05,5.477721281435593e-05,0.00010922801464078905,5.477721281435593e-05,5.79339200641363e-05,0.00012695260176771072,5.79339200641363e-05
7,Allied,8.728297440433808e-05,6.275485847221721e-05,8.728297440433808e-05,8.718667533771486e-05,6.637070938018234e-05,8.718667533771486e-05,0.0001618882149192467,9.063975735689611e-05,0.0001618882149192467,8.674252565692958e-05,6.511296901235524e-05,8.674252565692958e-05,8.717954694278926e-05,6.637070579561498e-05,8.717954694278926e-05
8,Allos,9.222624993653738e-05,7.185651270752303e-05,9.222624993653738e-05,8.103043369701346e-05,9.31434966514036e-05,8.103043369701346e-05,0.0001138046703450711,0.00010340337307248116,0.0001138046703450711,7.124617583246748e-05,6.546787738286608e-05,7.124617583246748e-05,8.103344628397615e-05,9.314349506009125e-05,8.103344628397615e-05
9,Alpargatas,0.0001284030600089581,0.00011158333483444944,0.0001284030600089581,0.0001214251608059978,0.00011673828476596991,0.0001214251608059978,0.00017290499427228596,0.00013756826592268155,0.00017290499427228596,0.00011100069786356358,8.383318961843292e-05,0.00011100069786356358,0.00012142520797885355,0.00011673828345508896,0.00012142520797885355
10,Alphaville,9.730602042057336e-05,1.3712523715982592e-05,9.730602042057336e-05,9.732835467834988e-05,1.3712541904419172e-05,9.732835467834988e-05,8.867567880765925e-05,2.715930121218429e-05,8.867567880765925e-05,9.600215713911896e-05,1.3774373529069375e-05,9.600215713911896e-05,9.730602042057336e-05,1.3712523715982592e-05,9.730602042057336e-05
11,Alupar,5.6191727687061424e-05,5.0988918874096244e-05,5.6191727687061424e-05,4.75376960386039e-05,5.9936186363055105e-05,4.75376960386039e-05,5.548155124540927e-05,6.893776230621654e-05,5.548155124540927e-05,4.0906636941124644e-05,4.094003134315553e-05,4.0906636941124644e-05,4.7535985101310005e-05,5.9936182769151196e-05,4.7535985101310005e-05
12,Ambev S/A,0.0004233510125548924,0.0005152268233828525,0.0004233510125548924,0.0003561040673683106,0.0005818273880378899,0.0003561040673683106,0.000685298513258204,0.0007274092805127925,0.000685298513258204,0.0003993302807280922,0.0004440196862120875,0.0003993302807280922,0.0003561071615440048,0.0005818273876735625,0.0003561071615440048
13,Ambipar,0.00016089769423192394,7.907716399888853e-05,0.00016089769423192394,0.00016543230565433599,9.15072521687432e-05,0.00016543230565433599,0.00024307465998479644,0.00013509476524783213,0.00024307465998479644,0.0001643912577299701,8.727727683533047e-05,0.0001643912577299701,0.00016542545704756526,9.150724913636676e-05,0.00016542545704756526
14,Americanas,0.0007885480655784629,0.001601617783098095,0.0007885480655784629,0.0011508259732869786,0.002097946831069956,0.0011508259732869786,0.0018335596398872292,0.0023065770174780145,0.0018335596398872292,0.0013942740617591516,0.0017527276541108444,0.0013942740617591516,0.001150834810140662,0.0020979468292504156,0.001150834810140662
15,Ampla Energ,0.0001557320540710892,0.0001408777387670157,0.0001557320540710892,0.0001507387169487736,0.00017048459366651625,0.0001507387169487736,0.00023082340353537732,0.00021639377198230106,0.00023082340353537732,0.00013773193813821917,0.00012966185255420818,0.00013773193813821917,0.00015073927160279114,0.00017048459194094162,0.00015073927160279114
16,Anima,0.00012797680458723,0.00020406679943221168,0.00012797680458723,0.00014316803125091708,0.0002525272273837479,0.00014316803125091708,0.00020784334850943234,0.00029373447438104213,0.00020784334850943234,0.00015681208828254188,0.0002060003706993773,0.00015681208828254188,0.00014317218828961974,0.00025252722634044747,0.00014317218828961974
17,Armac,5.548301076172714e-05,4.867724389087776e-05,5.548301076172714e-05,5.566489041658723e-05,5.0657309426037886e-05,5.566489041658723e-05,8.366561414375006e-05,9.457079735091529e-05,8.366561414375006e-05,5.7004517766491294e-05,5.074648414832696e-05,5.7004517766491294e-05,5.566515598446493e-05,5.065730498882943e-05,5.566515598446493e-05
18,Assai,0.00022789078682699734,0.00022518535603499167,0.00022789078682699734,0.00020996610210237223,0.00022470691392441667,0.00020996610210237223,0.0001332435929645374,0.00020381813325290833,0.0001332435929645374,0.0002048658251367489,0.00021646287953835833,0.0002048658251367489,0.0002099761641600154,0.000224706913171025,0.0002099761641600154
19,Atmasa,0.00017057205909233364,0.00020076502600538368,0.00017057205909233364,0.00018639948265022587,0.00023441198662937205,0.00018639948265022587,0.00021734373710502784,0.0002739978949789186,0.00021734373710502784,0.00016509676268874492,0.00018349856669438205,0.00016509676268874492,0.00018640395047349044,0.00023441198515311652,0.00018640395047349044
20,Aura 360,4.5346292682824085e-05,5.441654058354202e-05,4.5346292682824085e-05,4.618402205959068e-05,6.678532362709824e-05,4.618402205959068e-05,6.978388706801637e-05,8.003049153571632e-05,6.978388706801637e-05,4.7443291272393066e-05,6.705698842441814e-05,4.7443291272393066e-05,4.6184219443292866e-05,6.678532124458938e-05,4.6184219443292866e-05
21,Auren,0.0002947133347811326,5.593012417769465e-05,0.0002947133347811326,0.00029931126422823214,5.755368767338254e-05,0.00029931126422823214,0.00033145473473485544,8.299188101299915e-05,0.00033145473473485544,0.0003006476093994238,5.7747976943458254e-05,0.0003006476093994238,0.00029931051046441553,5.755368488391449e-05,0.00029931051046441553
22,Azevedo,0.00021017329280719634,0.00020415742732325827,0.00021017329280719634,0.00019507694928154332,0.00024274007050005918,0.00019507694928154332,0.00024051177285608021,0.00031106259405547205,0.00024051177285608021,0.0001993321187376689,0.00020748761193779854,0.0001993321187376689,0.00019507913146387293,0.00024274006943527092,0.00019507913146387293
23,Azzas 2154,0.00046917193292341636,0.0006907553758508575,0.00046917193292341636,0.00059404170563307,0.0009506543734886651,0.00059404170563307,0.0005971185611827069,0.0009833658823141674,0.0005971185611827069,0.0005039871431295392,0.000715330088196335,0.0005039871431295392,0.00059404008357186,0.0009506543733506075,0.00059404008357186
24,B3,0.00011332747003501183,0.0001341065814111235,0.00011332747003501183,9.237698734535489e-05,0.00015509063687096735,9.237698734535489e-05,0.00014584090440004964,0.00018599619844154755,0.00014584090440004964,9.156825286446671e-05,0.00011727448184827468,9.156825286446671e-05,9.238173112351521e-05,0.00015509063376212024,9.238173112351521e-05
25,BRF SA,0.00015161884873600453,0.0002187202996106775,0.00015161884873600453,0.00014038318243668523,0.00023956421718871252,0.00014038318243668523,0.0001568130391180402,0.00033194778648125753,0.0001568130391180402,0.00012002424771850183,0.000190144903756985,0.00012002424771850183,0.00014038877409064805,0.00023956421647343748,0.00014038877409064805
