,Empresa,RMSE_knn,RMSE_xgb,RMSE_ARIMA,RMSE_RF,RMSE_Lasso
0,3tentos,0.0007715620914296318,0.0008189190514347936,0.0005614061276813232,0.0006970318489039919,0.000818920012690662
1,AES Brasil,0.002797318080819829,0.0031658669556017104,0.0030124228170016246,0.002321703591521176,0.003165871055861786
2,AES Elpa,0.0015326708398954714,0.0016501100187747847,0.001962112899481644,0.0014077495180145176,0.0016501074647675938
3,AES Sul,0.002386822805628059,0.002570264019129045,0.0027651382652312878,0.002160184475122791,0.002570264690347446
4,AES Tiete,0.0013725742562439903,0.00191374682070193,0.001739634607827312,0.00191479220452257,0.0019137523696299186
5,AGconcessoes,0.001984999231468669,0.0017633833028078047,0.0020208171571609417,0.0016525220616104036,0.0017633838970811874
6,Aco Altona,8.61102538103551e-05,7.951386046943194e-05,0.00012041483487238828,7.459441005024294e-05,7.951278830844537e-05
7,Aeris,0.0007017449011218713,0.0006688174630408332,0.00063716339731072,0.0006744010435271815,0.0006688078031364355
8,Aesoperacoes,0.0027703525242705335,0.0023253167976432197,0.0028068401467812093,0.0023790238179178776,0.0023253074173528853
9,Afluente T,7.755919277030136e-05,8.429661636074531e-05,0.00010368301714846107,6.724873552688014e-05,8.429476722099968e-05
10,Agpart,0.0040037999494460545,0.0036853820994442164,0.006213625126319484,0.003719126783345389,0.0036853868138068645
11,Agribrasil,0.00013990840205850298,0.00013798240522588408,0.00014990780236459953,0.000131734002719849,0.00013799465088691886
12,Agrogalaxy,0.0028586250043602934,0.002703833922069311,0.0035238348101252425,0.002696218699140704,0.0027038314511876682
13,Aliansce,0.0007514825637086445,0.000714836283529302,0.0008321343445962763,0.0007040488584523588,0.0007148240421818405
14,Aliperti,2.088834527981753e-05,2.0916326707523324e-05,3.0581240040120495e-05,2.1246793382274005e-05,2.090220435946202e-05
15,All Norte,0.0036081287876751538,0.0035095665467526137,0.0042057551341918905,0.002887031400210584,0.0035095663296923437
16,Allied,0.0004607658286590586,0.00042336922182441316,0.0004934088927500127,0.0003995401813560886,0.0004233765360104837
17,Allis Part,4.532300464227966e-05,5.00852269043513e-05,4.7534719067460255e-05,5.22220017287884e-05,5.0099899390801786e-05
18,Allos,0.0004902304093511962,0.00046497541658871937,0.0008253548796774953,0.0004276169796160172,0.000464962412294456
19,Alpargatas,0.0019068109741952571,0.00168435814063682,0.0018815560800321484,0.001620100327977807,0.001684364412845077
20,Alphaville,0.00026347844739363347,0.00029612941588310065,7.938588068614685e-05,0.0002554296415963993,0.00029614160151474755
21,Altus S/A,3.596008113812234e-05,3.3881366115589976e-05,4.5192664395328965e-05,3.401916098589736e-05,3.3886643350238345e-05
22,Alupar,0.0016997811329703357,0.002077127434796332,0.002184224021864663,0.0014932234087155565,0.0020771297273140575
23,Ambev S/A,0.017708333119582653,0.027837604985746483,0.03137133152489937,0.019389311728921062,0.02783760088615674
24,Ambipar,0.0028367665217749537,0.0028202656942932615,0.00537843825970685,0.002742314179678041,0.0028202699694505505
25,Americanas,0.015282866552508288,0.016649905790240768,0.018103689618750664,0.015710566571379377,0.016649906971229932
26,Amil,0.0005834591176175751,0.0005640256821782326,0.00039870832836730487,0.0005648762819022499,0.0005640225871858118
27,Ampla Energ,0.002035272403920206,0.002033326308934286,0.002701089865730065,0.0016102815289527565,0.002033326568089495
28,Ampla Invest,0.0005674237874432278,0.0005518915220069243,0.000762456674509847,0.0005909614065798301,0.0005518941301274091
29,Anhanguera,0.0004954334070710916,0.0006904873717270555,0.0017080954085396886,0.0006734843223805555,0.0006904802549617942
30,Anima,0.0014957550716966073,0.001521010481172064,0.0016708417500628917,0.001359772522724653,0.0015210115371674868
31,Araucaria,0.0005131369034531291,0.0005295232080428548,0.0007289548627968386,0.0005223788778877967,0.000529514257484522
32,Armac,0.0011976703406558248,0.001093334950973118,0.0011911615331234695,0.0010944135143425662,0.0010933262763162858
33,Arteris,0.0019044158072713223,0.0017670927474999557,0.0022782642797981177,0.001495406008691764,0.0017670933101901895
34,Assai,0.0030840985774497165,0.00244794826045279,0.002991871609673171,0.00249904937828973,0.0024479418723701673
35,Auren,0.031850462374692606,0.03411300051795642,0.034276399201206634,0.0339248919804332,0.03411300468485982
36,Azevedo,0.0007098177099797782,0.0007085063949702244,0.0007304209215543768,0.0007072313578961439,0.0007085374907918298
37,Azul,0.002082369119169709,0.0025187560908645173,0.0014180563816245096,0.002945318245292046,0.0025187314027559898
38,Azzas 2154,0.004600263985578898,0.004415796712007029,0.005437702992508507,0.004224243643507338,0.004415798084729855
39,BHG,8.011569428046987e-05,7.870365712569646e-05,0.00010864205278486419,7.513593951305349e-05,7.868761678436416e-05
40,BR Home,5.037817379201353e-06,6.1736608879508436e-06,4.701905655917983e-06,5.416852428135854e-06,6.1734433031021785e-06
41,BR Malls Par,0.002153887969327162,0.0023577016704323097,0.0026702188098392064,0.0020320811472635753,0.00235769580739969
42,BR Pharma,0.0012573778058998886,0.0009743049496930708,0.00102301572501471,0.0009487521745087384,0.0009742961303276097
43,BR Propert,0.006833399621578629,0.0063199898217479455,0.00867093813641218,0.006136520730429819,0.006319985510467557
44,BRF SA,0.005642949878057052,0.007853354758211754,0.007806127336297227,0.006452285194980444,0.007853358571293018
45,Bandeirante Energ,0.001056018877346952,0.0010038330543423878,0.001045897206132571,0.0007384801494754294,0.001003830803886045
46,Bardella,0.00018579355460259179,0.0001902697204731934,0.00017028950783262636,0.000199580974112603,0.00019026208646875857
47,Baumer,2.4803215842026892e-05,2.3552203659104284e-05,2.897459862833875e-05,2.015350258876224e-05,2.35594098498679e-05
48,Bbmlogistica,0.00031573049489917005,0.00029695405723671384,0.0004938066520635262,0.0002984204867535798,0.0002969448740618899
49,Bematech,6.790004417105174e-05,6.179180914492438e-05,7.153412587657633e-05,5.695171177785434e-05,6.178573498274972e-05
50,Bic Monark,2.4048606604390848e-05,2.437288729953864e-05,2.9728681524234312e-05,2.0893914266963838e-05,2.438259102312784e-05
51,Bioma Educ,0.00036876478805907925,0.00035670818094595875,0.0006297879997946093,0.000363249736949173,0.00035671340825630966
52,Biomm,0.0003318770460478885,0.00030762505060558234,0.00045107412960052035,0.00027980007383386277,0.0003076199573803358
53,Biosev,0.006184848160721041,0.0072808599765366465,0.009042424523610405,0.006824850968182598,0.007280861008067383
