,Empresa,RMSE_knn,RMSE_xgb,RMSE_ARIMA,RMSE_RF,RMSE_Lasso
0,3tentos,0.001160051762722281,0.001377041510730048,0.001468945658494668,0.0012759872229201564,0.0013770504030396053
1,521 Particip,0.003927908777914889,0.003639416515594692,0.0051836949268413155,0.0036272219396906273,0.0036394151139928946
2,524 Particip,2.747846614832364e-07,2.464911785647019e-07,4.633692028544124e-07,2.4051123257210304e-07,2.4515951793176377e-07
3,AES Brasil,0.0033978570399304897,0.003989521634722514,0.004064826894770952,0.0029105900841559337,0.003989521248788199
4,AES Elpa,0.0019361995639534248,0.0020688361551751792,0.0025341659136396727,0.0017832567062589873,0.0020688356804344945
5,AES Sul,0.002271922461788161,0.0025727341800283006,0.0027873918594576393,0.0021669418662291834,0.0025727336626919415
6,AES Tiete,0.0016858335160078312,0.0022221360316845274,0.0022582655538704185,0.0020989298259021243,0.002222132032401958
7,AGconcessoes,0.001782719090292682,0.0016905809281741158,0.0023838424460945534,0.0015514965139247648,0.0016905826380104636
8,Aco Altona,9.760690404711485e-05,8.344494330474272e-05,0.00013361431881419848,6.644067473048479e-05,8.34442532503613e-05
9,Aeris,0.001318631215869485,0.0014402668579125736,0.001542336817061937,0.0013226721434630875,0.0014402628319144558
10,Aesoperacoes,0.002054325553510777,0.0018386840152295016,0.009548158319717295,0.0018545899598526592,0.0018386803940775539
11,Afluente,1.4653552348842027e-05,1.3926799603168702e-05,1.5170050147250709e-05,1.2021236608465946e-05,1.3928337362383598e-05
12,Afluente T,7.269451473967325e-05,6.756485196118981e-05,7.85678503185112e-05,4.748482715383076e-05,6.756550929136865e-05
13,Agpart,0.0034720362808767437,0.0031900759864856164,0.004361724455611888,0.0033506145050809263,0.003190077746467723
14,Agribrasil,0.0005813655047003613,0.0005084515427432806,0.0004677659259436587,0.0005268204139681266,0.000508460214729671
15,Agrogalaxy,0.0025236790925539663,0.002509570538437052,0.002290404954111839,0.0024969809827945664,0.002509575464495243
16,Alfa Consorc,0.0019943889978132445,0.0019932889834773193,0.0021787732470275817,0.001512890717416204,0.001993288122426946
17,Alfa Holding,4.200431417685552e-05,4.035656209061757e-05,4.1915500298073695e-05,2.9896408673456847e-05,4.0355451731302635e-05
